Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
zout (wit),sel blanc,viertel,"17354,10","17354,1041666667","1438,04","1438,0416666667","15643,75","15645,75",,"3727,75","53,5",11053,"0,25","45,25",,"9,5",,,"16,25",,,"867,6666666667",,2385,"1,8333333333",,2,,,,,,,"1307,5",,,254,,,"0,8333333333",,,"7,5","42,375",,"0,0625","92,625",,,"81,3333333333","978,1666666667",,"1022,5",,"2,5",42,"3,5","0,8333333333","12,125",,6661,"1,6666666667",203,550,,399,"3019,5","42,1666666667",514,"927,125","2,5","108,0833333333"
zout (grijs of grof),sel gris,viertel,"40949,77","40949,7708333333","18,00",18,"4,00",4,,,,,,,,,,,,,,,,,,,,,,,"40700,75",,,"242,9375",,,,,,,,,6,,,,,,,18,4,"0,0833333333",,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"53257,44","53257,4375","4171,66","4171,5543478261","48775,50","48775,5",,13,1300,48769,"200,5",,,23897,,,8666,1391,,5841,,,,"1080,5",,10010,,,4504,120,,,,,,,,"5,375",280,,,,,"99,5",,,,,,,,,,,,"1,25",,,"19,5625","0,0543478261",,"0,25",,"6,5",,,,,,
suiker (kandij-),sucre candis,pond,"207640,00",207646,"162847,00",142847,"435662,00",435662,,"2,5","8535,5",,12,67,,20,4,,11,9843,,"164,75",,408770,"341,75",,,"68,75",4,,159,3,,5,,,"769,75",,,,7982,,,41472,,,"3787,5",,,36089,,,2439,70,213,143,,,31947,,31729,57,,"11046,5",2,1995,20640,28,6841,142463,444,17986
suiker (witte poeder-),sucre en poudre blanc,pond,"1333354,00",1333354,"0,00",0,"1826,00",1826,,,,,,,,,,,,,,1320238,,1826,13116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suiker (bruine poeder-),sucre en poudre brun,pond,"8492193,00",8492193,"22701,50","22702,5","1361,00",1361,,11202,11466,,,51,,525,,,,1253,,2777507,,,62041,10,,5405790,1035,,56141,,,"43443,5",4,,8048,2,,5002,1132,,"17664,5",252,,,2040,,,2388,60,,730,,,1513,,96687,"826,5",135,,,,28,,,,,1166,8114,,
kleurstoffen (koperrood),coperose,pond,"184396,00",184396,"50107,00",50107,"76427,00",76427,,,256,,2441,,,,,,,5032,,117190,,11515,9865,,,9300,,12260,2940,,,1206,,,389,,,,,,1753,,,,632,,,1,220,,196,,,,,,,,,750,5175,22389,23200,13762,9313,8100,33495,7610,11940,
kleurstoffen (indigo),indigo,pond,"145410,25","145410,25","10861,00",10861,"22472,00",22472,,32,8090,8579,50,,,792,,,25,885,,"8747,5",,2,"945,5",400,,1837,615,,128097,440,12351,172,,,,,,1664,10,,2113,215,,42,45,,,6,,,,,9,,8,651,90,,27,15,1442,"83,25",,90,3,,,120,50,
thee,thé,pond,"463539,75","463539,75","2476,38","2476,625","74949,50","74949,2",,"8325,875","549,625",,"33,5","73,75",,"249,25",87,,9310,965,,108998,,12265,"7050,75",73,,173970,25,37752,"133625,5",50,20377,"104,125",3,,"7271,75",,,300,"61,5",380,1351,110,,"5,5","49,5",,"0,5","30,5",1364,,"40,75",6,"112,25","168,5",27,1289,79,1432,192,"18,5",,136,10,236,"440,75",,"294,2",10774,82,816
katoen (bedrukt),toile de coton imprimé,el,"1443462,56","1443452,8125","169209,25","169168,25","259242,50","259243,5",,22221,119,,763,372,,269790,478,,177146,,226664,472987,,,"14789,75",13,,"180158,5",122,,"17061,25",105,,"340,5",31,,"31106,5",109,,23451,168,13538,48989,137204,,918,"19292,75",,33,423,973,240,207,2466,"30482,5",5301,"481,5","18633,5","4002,5",107,"33165,5",687,,"29359,5",,"13577,5","31813,3125",,"208,5",40004,534,1228
katoen (wit),toile de coton blanche,el,"1370842,00",1369846,"9079,50","9019,5","1124,00",1124,,,121,4,"287,75",,,252245,,,72909,650,1120,865755,,,377,88,,79141,5,,97704,,,,,,,,,"175,75",,,"1,5",4900,,5,"3255,5",,,,,18,,,1227,,,,,,,,,,,,,,,,,
wijn (rode Franse),vin rouge de France,aam,"6870,70","6870,7","138,38","137,3833333333","920,83","920,825",,"45,7","43,25",4,"0,5","3,75",,"6,25","1,5",,,25,11,"1751,125",,"424,5","6,625","3,1666666667",,"1917,25","3,8","131,45",1065,,"286,5",251,"4,5",,"2,5",,,"31,5","14,8333333333","0,25","1421,5","0,0833333333",,30,,,"6,5",,"1,25",18,,21,"32,5","1,5","6,75",161,,"16,5",,,"1,125",,"28,5",,,,,"123,75","7,5","16,5"
wijn (witte Franse),vin blanc de France,aam,"48395,71","48395,7083333333","1118,93","1118,9333333333","493,33","493,3333333333",,"74,625","230,5","65,5",,"4,25",,"16,75","27,0833333333",,"3,625","301,7916666667",,"16147,5",,140,93,"292,8333333333",,"29459,25","112,5",16,1845,"3,75","235,5","312,5833333333",9,,"262,75","1,6",,,"4,125",,"13,5","10,5",,,40,,"11,25",,"13,3333333333",,"13,25",,"1,875","48,75","10,5","147,5",11,12,,8,,,,,"0,5",,,6,,"0,5"
