Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"875520,25","875530,25","2136,50","2136,5","772145,00",772145,,"61685,5","417,5",76173,"67,75",6,,"584,5",4,,375,33,,42283,,210843,"2372,5",,,502055,3,327774,25619,294,180,"19448,5",,,"2408,75",,,118,134,10,21606,547,,"2121,5",18,12735,4,261,113471,1089,157,10542,"2134,5",91,36,2601,14,451,"27841,5",74,5328,"2424,5",20,1280,"9040,75",4,6741,149650,59,6581
steenkool,charbons de pierre,pesée',"13427,00",13427,"70640,50","70640,5","6612,50","6612,5",,,39370,,11834,472,,40,,,,2850,,,,,,424,,,,,,,,,,,,,,,,,10,36,,,"4615,5",,,66,,"625,5",3526,"21,5",,537,,,,,"29,5",,,,,,,,,888,18744,6591
steenkool,charbons de pierre,kar,"1727,17","1727,1666666667","22596,25","22596,25","6525,00",6525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"825,6666666667",1,38,,,,,,,735,"101,25",1399,24,,16,"142,5",144,18,,22350,5054
steenkool (klein),menu charbons de pierre,kar,"1824,00",1824,"1759,17","1759,1666666667","1183,00",1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,"817,5",50,1742,252,"974,5",49,"689,6666666667","13,5",,,,,,,,,145,,,,,,
kant (linnen),dentelles de fil,gulden,"2755,00",2755,"95923,00",95923,"4987,00",4987,,156,,,82,10814,,,520,,,,,,,,185,,,2,,,,,,,,,779,8312,,3,76,1047,60,2012,880,220,2100,13,5,21380,800,,,,,,,,,,437,45874,30,376,,117,7,4704,2100,443,131,
zijden stoffen,etoffes de soye pure,el,"15227,25","15227,25","919,50","919,5","5229,50","5249,5",,47,13,146,,192,,504,120,,16,,2287,,,,,,,754,"169,5",,,53,,,,,46,"36,5",,48,12,,,,,"584,75",36,,,,85,,,,63,,,"694,75",88,,9241,"101,5",,"333,5",,"631,5","828,25",40,,2067,58,2100
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"334634,75","334634,75","24524,00","94563,25","134122,50","134122,5",,,,,12810,,,,,,24367,,,77283,,,18418,,,23299,,58160,,,,,80,,11138,"97,75",,,,,80,,,2189,,,10416,,38656,12089,,5005,,,,,,93,195,"792,5",,"6326,75",15114,"11533,5",9293,77514,16075,126731,965,4600
wol (Spaanse),laine d'Espagne,pond,"838430,00",838430,"48738,00",48738,"792134,00",792134,,,,469575,,,,,,,,,1166,,,,76692,,21358,,,,130750,,44930,,,,,,,,,,,,,,,,,,,,,,5197,20,,,,,,,,,,,,,,625791,48718,255105
wol (gewassen),laine lavée,pond,"70712,50","70712,5","174398,00",174398,"78492,00",78492,,11,786,,12950,"42,5",580,35381,25,,,8636,,,,,,,,,,,,,,,,,5240,20,,362,38884,282,200,12313,,425,1732,,3905,1,73328,,,1102,,50,,786,2131,,11371,"28047,5",55,"81,5",1824,,,79906,3145,,,
wol (gekamd),laine peignée,pond,"2436,00",2436,"248570,25","248170,25","45114,00",45114,,,,,,"23,75",,,,,,222,,,,,,6209,,173,,,,,,,,,,,,201,101076,,1061,"133745,5",,288,384,,,155,44675,573,752,374,60,5565,,80,38,,,,,,,65,,,,,,
