Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"1739180,25","1772850,25","4815,00",4815,"1127792,50","1127792,5",,113852,294,95020,"241,25",4,,"1246,5",,,30665,782,660,185461,,453207,"951,75",,,1055691,,354258,33161,312,,"27036,5",227,,"4164,5",2,,4754,428,40,42847,823,,5645,96,29697,,38,128196,8061,106,"23222,5","2134,25",106,"19,5",10228,152,1199,"20212,5",29,3576,4450,4,"4046,5",11905,48,23852,210143,1364,10799
steenkool,charbons de pierre,pesée',"14338,00",14338,"49095,17","49095,1666666667","347,50","347,5",,,39973,,"9930,5","751,6666666667",,40,,,,1870,,,,,,30,,,,,,,,,,,,550,,,,,143,,,,"3529,5",,,,,4163,"1761,5",16,,610,12,,,,,,,,,,,,,"61,5","19,5","319,5"
steenkool (klein),menu charbons de pierre,viertel,"411460,00",411460,"189246,25","189246,25","5712,67","5712,6666666667",,,590,,11828,"133,5",,"1128,5",32,,"7,5",,,102733,,,"35,1666666667",,,"5931,3333333333",1,,18341,,,"6344,5",,,,61,,"1856,5",1375,,"215993,5","19605,75",,"178,75","140384,5",,35,828,"32,6666666667","1000,5","17019,5","47,5","868,5",3046,345,"40255,5","348,5",3460,,,,"484,75",,4,278,6,"108,5",4160,"5815,5",1715
steenkool,charbons de pierre,kar,"1827,75","1827,75","13545,25","13545,25","13544,75","13544,75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972,3,"58,5","108,75","1593,25","9,25",,,,456,68,"1431,25",22,,"19,25",64,79,"19,5",205,11802,12007
steenkool (klein),menu charbons de pierre,kar,"2867,50","2867,5","1394,08","1394,0833333333","634,67","634,6666666667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,1126,"37,6666666667",2779,"199,25",597,"6,5","68,8333333333",,,,,,,,,,,,,,,,
kant (linnen),dentelles de fil,gulden,"3871,00",3871,"62349,00",62349,"3216,00",3216,,870,,,71,7780,,,344,,,,,,,,,,,8,,,,,,,,,224,5173,,,,,6,,,610,200,,4,300,2115,,,,52,,,,,,1116,46889,,609,129,,85,1517,300,216,17,801
zijden stoffen,etoffes de soye pure,el,"22347,50","22347,5","38444,25","38444,25","1636,67","1636,6666666667",,36,29,600,,"16,75",,"3,25",138,,10,37403,,,,,,,,,368,,88,,,,,,,31,,6,,,,,,,311,32,,,29,,,,,"2,5",,,3,,17912,97,200,303,2,"416,6666666667","583,5",,342,"3405,75",43,17
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"249746,00",249746,"89796,50","89796,5","778924,50","778924,5",,,,,3235,,,,,,,,,,,,34621,,,156289,,713431,,,,,,,14950,4,,,,,,2922,,1850,260,,15558,,42312,7734,100,5153,11691,"118,5",5,24,,,1903,27536,458,,,1135,1891,57606,"13279,5",,1250,3151
wol (Spaanse),laine d'Espagne,pond,"817441,00",817441,"3741,00",3741,"610415,00",610415,,,6,343373,,,,,,,,,9715,,,,52479,,12655,,,15340,364826,,114867,,,,,,,,,,,,,,,,,,,,,,440,,,,,,,,,,,,,,,399696,3735,114465
wol (gewassen),laine lavée,pond,"54702,00",54702,"108220,50","108220,5","81409,00",81409,,,,,22739,1,,19881,,,,,,,,,,,,,,,,,,,,,,,,2575,19923,167,186,7660,,101,150,,295,,65414,147,,1883,36,145,,139,1409,40,545,689,,8042,"10558,5",11175,16,67685,2730,,,
wol (gekamd),laine peignée,pond,"1555,00",1555,"131496,00",131496,"4995,00",4995,,,,,,100,,,,,,7060,,,5188,,,,,,,,,,,,,,,,,800,41331,,740,"73674,5",,,949,,,,4922,15,"82,5",6,,273,67,,3,,,,,,,,,2835,,,,
zout (wit),sel blanc,viertel,"20343,02","20343,0013888889","2697,82","2698,0805555556","23404,83","23404,8333333333",,"2017,3333333333","120,5",20398,"0,0222222222","65,5111111111",,"11,5416666667",,,"26,75",,,"855,5833333333",,1100,"2,5",178,,302,,,,,,"1739,375",,,"112,25",,,"3,25",,,"2,125","6,625",,"0,0625","65,25",,,1,675,"0,4166666667","1762,75",,"1,75","13,3333333333","494,5",5,,,"11769,75","2,25","357,5","202,875","444,25",,"2096,25","3,1111111111","340,75","1194,1666666667","35,5","39,0833333333"
zout (grijs of grof),sel gris,viertel,"67034,25","67034,25","10,50","10,5","0,00",0,,,,,,,,,,,,,,,,,,,,,,,"66995,625",,,"35,625",,,,,,,,,3,,,,,,,"10,5",,,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"30511,88","30511,875","3011,50","3011,5","15814,00",15814,,"235,25",2,15254,"607,1875",7,,3827,,,9566,"2782,25",,13954,,,,,,1215,,,955,,,"12,25",,,,,,5,149,,"66,9375","45,25",,"50,25",8,,,,,,,,,,,,,,,,,,,,,,560,18,18,
suiker (kandij-),sucre candis,pond,"217988,38","217988,375","175236,00",175236,"650563,25","650563,25",,465,19891,414584,19,153,,"75,5",6,,"25,25",20770,,"32,5",,206297,"622,75",,,"92,125",,,,,,58,"0,5",,19,,,,2914,,2,63868,,,3589,,,32409,1086,,3845,185,"65,5",580,"1833,5","2,5",27064,,32684,20,,10749,"4,5","2433,5","31412,25",59,"16628,25",141664,63,7516
suiker (witte poeder-),sucre en poudre blanc,pond,"669064,50","669064,5","14330,50","14330,5","1020,00",1020,,,8162,,10,116,,"601,5",4,,,1271,,621123,,1012,"43928,5",,,,,,,,,,,,,,,,,,,,,,1573,,,532,4,,"997,5",4,"3401,5",1675,,,,,,,,,,,,,,,,
suiker (bruine poeder-),sucre en poudre brun,pond,"8769532,75","8769532,75","581,00",581,"3951,00",3951,,,,,,,,,,,,,,1577241,,1121,663,,,6203039,,1800,835426,,,"9499,25",,,6066,,,3000,,,"10003,5",116,,,4,,,,,,,,,,,112468,461,30,,,,20,,,4,,,12103,,1000
