Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
wol (gekamd),laine peignée,pond,14749,14749,289327,289327,"8612,05","8612,5",,,3,,11,111,,,,,8485,420,,,,,34,3063,,,,,,,,,,,,,,142,98857,,2590,168896,,302,3885,,200,847,"8505,5",150,3435,107,2812,4616,,8,5194,,,,,,,,,,,15,,
zout (wit),sel blanc,viertel,"18289,56","18289,7291666667","927,63","927,625","8163,13","8163,125",,"5373,5","46,5",210,,"17,5",,"11,75",,,"80,5",,,"849,4166666667",,4096,"1,5",,,,,,11,,,"3,5",,,"133,1666666667",,,"3,5",,,1,,,"0,3333333333","1,5",,"34,5",26,"2374,5",,"773,75",,"78,75",8,,"1,1875",,,3547,"46,875",313,"4522,125",,920,2278,"2,5","143,125",1359,5,"106,5"
zout (grijs of grof),sel gris,viertel,"87517,81","87517,8125",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,"85839,25",,,"1678,5625",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,59953,59953,"4310,38","4310,375",1657,1657,,,87,1657,428,,,30890,,,12665,4088,,15023,,,,"0,25",,333,,,"600,5",,,,,,,,,"7,5",130,,,"0,625",,2,"4,5",,,,,,,,,,,,,,,,,,,,,,,4,,
suiker (kandij-),sucre candis,pond,"111476,75","110476,75",120011,120011,216988,215988,,,8576,,"33,5",17,422,43,,,48,20779,,1466,,181213,"107,5",,,72,100,,3,,,"66,5",,,84,,,4,12612,,"6,5",23909,,26256,1298,,,21023,3790,77,3867,103,"22,5",567,28,"4,5",26665,,11535,235,399,10702,5,4789,"14616,25",115,6793,"45329,5",243,18451
"suiker (poeder-, dure)",sucre en poudre blanc de haut prix,pond,951467,951467,14139,14129,1403,1503,,76469,9282,,,10,,449,,,,,,828064,,790,40014,,,,,,,,,,,,6318,,,13,47,,,,,133,1490,,,,,,1863,10,,1437,,,,,,,703,,,,7,,,,,
"suiker (poeder-, goedkope)",sucre brun bas prix,pond,6889068,6889068,22385,22385,11406,11406,,,,,,,,,,,20,1346,,3299566,,8603,100100,,,3194323,18211,1300,49643,,,37193,,,,,,,,,50339,169,,,,,,2001,413,,,,,,,150489,646,,,,,,,,,,,7395,12,1090
kleurstoffen (indigo),indigo,pond,40053,40053,2956,2956,4632,4632,,612,2265,1010,,,,1228,,,,28,,"8155,25",,843,356,,,4803,,,17465,12,220,162,,,8,,,1765,,,3953,,,25,6,,,9,3,,52,8,"7,5",,1,,49,,209,,,25,,,74,,652,"1205,25",535,1895
thee,thé,pond,458859,"458859,25","3517,25","3517,25","70728,25","70728,25",,"6075,5","591,25",38,81,"27,75",,"154,75",15,,"55584,25","794,5",,"227157,25",,"12973,5","3766,25",76,,"102003,75","190,5",31600,"39382,5",103,19235,"171,5",219,,5284,,,319,"54,5",972,3717,"291,5",,"6,5",477,,,"70,25",3440,204,"122,25",,"35,5","221,25","32,25","24,75",47,,646,113,"4,25",593,4,"221,5","706,75","11,5","93,75",12946,88,2118
katoen (bedrukt),toile de coton imprimé,el,1195720,1195720,192484,192384,"53374,5","53374,5",,4837,420,1250,967,73,,129978,,,238293,519,,274399,,,"18567,5",,,209157,243,,"6693,5",450,,292,114,,21630,429,,59601,13,145,94115,165850,11844,52,18212,,2,"439,5",,,498,,25871,"1365,5",389,4,1570,,46072,1811,"134,5",14432,39,11788,30817,127,4088,19940,211,23736
katoen (wit),toile de coton blanche,el,269454,269454,11395,11395,381464,381464,,14521,729,18541,,,,78071,144,,38609,6419,,32764,,,425,,,14385,,,,,,,,,"917,5",120,,4798,,,25,20,,2575,2966,,82,,,50614,,170,"1134,5",997,58,,,,,,,,,,6007,,1619,24526,,361076
katoen (voor bedrukking),toile de coton blanche pour imprimer,el,909156,909156,0,0,0,0,,,,,,,,480,,,,,,908676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wijn (rode Franse),vin rouge de France,aam,"5300,25","5306,5","75,92","75,9166666667","454,25","454,25",,"12,75","7,5",,"0,5","0,1666666667",,"1,5",,,"7,25",38,,"1712,625",,"84,5",7,,,"1329,5","0,75",72,"368,25",18,10,"70,25",5,,"14,5",,,"176,5",,"2,25","479,75",,,"597,25",5,,"475,75",,"229,5",28,,"39,75",,,,,,,,,,,,,"12,375","1,5","16,25","12,75",,
wijn (witte Franse),vin blanc de France,aam,"44809,63","44809,625","796,21","796,2083333333","61,25","61,25",,136,164,,,"11,25",,117,"10,5",,,"359,5",,11620,,32,,"81,875",,"30958,5","47,75",9,"1319,5","6,75",,60,"69,5",,"326,1666666667","7,75",,"12,75","7,3333333333","4,75","0,75",,,2,"4,5",,,,"1,5","0,5",,,"53,125","1,5",,185,,,,18,"1,25",,,,"15,3333333333",2,"12,75",3,4,
