Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,695930,695930,"15487,5","15487,5","611961,5","611961,5",,40193,396,14057,216,4,,670,20,,4230,99,,206356,,113964,2576,,,"170259,5",10,386255,8955,12,,6436,30,,1242,,,47,700,782,44394,252,,"1848,5",349,,,"535,5",62900,12358,2805,1681,"923,5","254,5","25,5",414,,,7890,146,2066,4923,8,1186,6638,"44,5",6597,"175360,5",9822,22448
steenkool,charbons de pierre,pesée',11401,11401,31281,31281,"172,75","172,75",,,26724,,6046,"100,5",,,,,,186,,,,,,28,,,,,,,,,,,,,,,,,,,,592,"1997,5",,,"142,5","12,75",4415,"1307,5",138,30,556,16,,,,,,,26,8,,8,,,284,231,6
steenkool (klein),menu charbons de pierre,viertel,323869,323869,"232217,25","232217,25",4482,4482,,,790,,11834,49,,852,"2,5",,5,,,124095,,,50,,,79,,,12997,,,5791,20,,,,,"17931,5",3197,1006,137876,29466,,365,"160642,75",,77,"288,5",,6029,,,975,"5541,5",373,261,15925,399,,,,1060,,,"196,5",103,7,3395,16192,2697
steenkool,charbons de pierre,kar,"1190,25","1190,25","17244,5","17244,5",8419,8419,,,,,,,,"0,25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"560,5","1441,5","166,5","12,6666666667","3,5",101,,,,"493,5","1,5",,"10,3333333333",4,"23,5",113,66,388,,15728,7740
steenkool (klein),menu charbons de pierre,kar,"159,5","159,5","709,5","709,5","633,5","633,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,535,103,"45,5","174,5","530,5",25,,,,,,,,,,,,,,,8,,
kant (linnen),dentelles de fil,gulden,4705,4705,53307,53307,2485,2485,,,,,,6000,,,47,,410,,,470,,,,1400,,7,180,,280,,,,,,,2300,,1695,,326,136,727,,287,5150,2000,6,529,25,,,,5,4,,,,,1138,33572,14,135,,12,108,3398,108,28,,
zijden stoffen,etoffes de soye pure,el,"10018,5","10018,5",46674,46674,1067,1067,,,"75,5",,23,"47,5",,130,17,,44,45583,,2,,,,44,,,,,900,,,,,,,20,,,,,,512,,,6,113,,,,,2,12,,,,,30,,6763,246,176,100,,535,719,,181,"1337,5",91,50
wol (ruw of niet gewassen),laine brute ou non lavée,pond,1451986,1451987,246205,246205,1134606,1134606,,,8418,171379,8082,,,37087,68,,24409,"6488,5",,450144,,3105,24173,978,,"53432,5","2038,5",635245,,,,366,,,4730,,,135,582,440,,,,,99,,37686,,49013,6383,,,2437,6,,1636,7,,8989,17103,2124,7064,20689,16229,4065,184159,19341,"781168,5",5569,237730
wol (Spaanse),laine d'Espagne,pond,437949,437949,24256,24256,132381,132381,,,,,,,,,,,,,,,,,42575,7100,18524,,,,110262,,49220,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,285094,17156,64637
wol (gewassen),laine lavée,pond,71332,71332,84021,84021,107121,107121,,,,,43035,3,,,,,,,,,,,10682,2006,,,,,,,,1275,920,,10967,,,2334,22695,150,363,46858,,1683,4,,3,,106170,260,,801,728,2439,,,1783,,2,7304,,,,,,9,,,,
