Product ,unit for the price,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791
kruidnagel,,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.675,4.455,4.235,4.015,3.795,3.575,3.586,3.597,3.608,3.619,3.63,3.48425,3.3385,3.19275,3.047,3.1735,3.3
nootmuskaat,,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,4.125,5.137,5.885,6.05,6.963,13.717,14.38525,15.0535,15.72175,16.39,17.025,17.66
saffraan,,11.737,12.1,11.825,12.969,16.665,18.15,20.108,27.775,24.563,18.59,18.7,17.941,14.025,11.704,12.76,11.594,13.475,18.458,17.6,17.6,21.45,26,19.91,19.14,17.1,17.6,18.7,19.8,20.9,22,21.725,21.45
peper,,0.506,0.5522,0.5984,0.6446,0.6908,0.737,0.7128,0.6886,0.6644,0.6402,0.616,0.6292,0.6424,0.6556,0.6688,0.682,0.6842,0.6864,0.6886,0.6908,0.693,0.715,0.737,0.759,0.781,0.803,0.792,0.781,0.77,0.759,0.825,0.891
snuiftabak,,0.781,0.759,0.737,0.715,0.693,0.671,0.6974,0.7238,0.7502,0.7766,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803,0.803
stijfsel,,0.12584,0.128348,0.130856,0.133364,0.135872,0.13838,0.13717,0.13596,0.13475,0.13354,0.13233,0.138776,0.145222,0.151668,0.158114,0.16456,0.156618,0.148676,0.140734,0.132792,0.12485,0.133848,0.142846,0.151844,0.160842,0.16984,0.177155,0.18447,0.191785,0.1991,0.185625,0.17215
juchtleer,,0.671,0.6776,0.6842,0.6908,0.6974,0.704,0.7106,0.7172,0.7238,0.7304,0.737,0.7238,0.7106,0.6974,0.6842,0.671,0.7018,0.7326,0.7634,0.7942,0.825,0.825,0.825,0.825,0.825,0.825,0.83875,0.8525,0.86625,0.88,0.88,0.88
ijzerdraad,,0.02035,0.021076,0.021802,0.022528,0.023254,0.02398,0.024244,0.024508,0.024772,0.025036,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.0253,0.02474,0.02418,0.02362,0.02306,0.0225,0.0225125,0.022525,0.0225375,0.02255,0.02255,0.02255
koperdraad,,0.59818,0.625944,0.653708,0.681472,0.709236,0.737,0.71665,0.6963,0.67595,0.6556,0.63525,0.63525,0.63525,0.63525,0.63525,0.63525,0.6292,0.62315,0.6171,0.61105,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605,0.605
loodwit,,0.1155,0.116336,0.117172,0.118008,0.118844,0.11968,0.116732,0.113784,0.110836,0.107888,0.10494,0.105402,0.105864,0.106326,0.106788,0.10725,0.108966,0.110682,0.112398,0.114114,0.11583,0.119104,0.122378,0.125652,0.128926,0.1322,0.134845,0.13749,0.140135,0.14278,0.13629,0.1298
