Product ,Product ,unit of the price,Constant prices,Years,Reference,Remarks
wit lijnwaad,tobacco plants,"16,1 Brabantse gulden per stuk (=0,7 per el)",,1785,"SEG, 2153",stuk is volgens Corluy 23 el
zeildoek,flowers (bulbs and plants),28 gulden per stuk,,1721,"Willemsen, p. 238",beste kwaliteit
baai,wild shrubs,Brabantse gulden per el,,1762,RvF 4571,
witte zeep,hop shoots and vine,Amsterdamse gulden per 100 pond,,1760-1791,"Posthumus, p. 485",
potas,hop shoots and vine,Brabantse gulden per 100 pond,,1792,"Corluy, p. 284",
frisade,white salt,Brabantse gulden per el,,1762,RvF 4571,
kamelot,crude silk,Brabantse gulden per el,,1765,RvF 4597,
barkan,silk (waste),Brabantse gulden per stuk,,1751,"RvF, 4564",
serge,flax (tow),Brabantse gulden per stuk,,1753,"RvF, 4564",
flanel,flax (combed),Brabantse gulden per el,,onbekend,"Lis en Soly, 1990",
neteldoek,flax (crude),Brabantse gulden per el,,1785-1786,"SEG, 2153",
queues et pennes,flax yarn,,,,,
spijkers,lint,,,,,
ingevoerd steenkool (pesée),Spanish wool,"15,25 sols per 144 pond",,1765,"RvF, 5027",
uitgevoerd steenkool (pesée),horse hair (worked),"18,5 sols per 144 pond",,1765,"RvF, 5027",
gewoon steenkool (kar),ox strings,zie bestand bij artikel steenkool,,1759-1791,Allen,
klein steenkool (viertel),wood (different sorts),zie bestand bij artikel steenkool,,1759-1782,"Verlinden, p. 799",
siamoise/stoffen van garen en katoen (el),wood for seals,11 stuivers per el,"0,55 gulden per el",,"Lis en Soly, 1990",
tin (bewerkt) (pond),wood for planks,9 stuivers per pond,"0,45 gulden per pond","1778,00","Verlinden, p. 846",
vetkaarsen (pond),white wood for clogs,"4,25 stuivers per pond - 5,25","0,2125 gulden per pond - 0,2625","1759-1768, 1771","Verlinden, p. 823",roetkaarsen
vers vlees (pond),wood for musical instruments,Brabantse gulden per stuk,,1751,"RvF, 5320 en 4564",
olijfolie (aam),old wood,stuivers per stoop,gulden per aam,1759-1783,"Verlinden, p. 746",
chocolade (pond),firewood,"30,3 stuivers per pond","1,515 gulden per pond",1788,"Verlinden, p. 776",
thee (pond),wood waste,32 tot 56 stuivers per pond,"1,6 tot 2,8 gulden per pond","1758, 1788-1791","Verlinden, p. 775",
koffie (pond),fagots,Amsterdamse gulden per pond,Brabantse gulden per pond,1760,"Posthumus, p. 181-182 (Java)",
witte poedersuiker (pond),reed and straw,stuivers per pond,gulden per pond,1778-1784,"Verlinden, p. 763",
wijnazijn (aam),straw (cut),200 stuivers per aam,10 gulden per aam,1788-1789,"Verlinden, p. 780",
bierazijn (aam),straw for roofing,,,,,
gezouten haring (ton),Indian reed,,,,,
verse zalm (stuk),manure (pigeons etc),9 stuivers per pond,"1,89 gulden per stuk",1761-1783,"Verlinden, p. 741",
erwten (last),ashes of straw etc,117-130 st/viertel ,"219,375-243,75 gulden per last",1759-1767; 1768-1791,"Verlinden, p. 683",
bonen (last),mixed ashes,"3 st/pot (2,5 in 1762 en 1767)","327,51 gulden per last (272,9)",1759-1767,"Verlinden, p. 686",
wit zout (viertel),slaked lime,stuivers per zak (zie document bij artikel zout),,1759-1791,"Verlinden, p. 829-832","grijs zout, Corluy p. 20"
