Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
wol (gekamd),laine peignée,pond,7843,7843,235664,235664,6391,6391,,,,,,"107,5",,,,,,30,,,,,,3444,,2553,,,,,,,,,,,,2274,"78798,5",266,1682,148006,,,510,,535,,5975,,1246,150,625,3446,,,76,,,,,151,,,23,,,,,
zout (wit),sel blanc,viertel,"8558,71","8558,7083333333","1032,58","1032,5833333333","3132,71","3132,7083333333",,"2738,6666666667",105,91,,35,,4,,,"37,5",,,"617,75",,1751,,,,,"0,5",,,,,"326,25",,,"655,5",1,,"1,6666666667","1,25",,,,,,"37,25",,,47,6,,699,,"0,75","48,3333333333",,,,,"44,5","3,5","136,75","896,5833333333",,"326,25","2418,5","54,75","726,375","817,0416666667",,"95,3333333333"
zout (grijs of grof),sel gris,viertel,"56144,38","56144,375",9,9,"1748,25","1748,25",,,,,,,,,,,,,,120,,,,,,,,,"55490,75",,,"529,5",,,,,,,,,"4,125",,,,9,,,,"1748,25",,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"52424,88","52424,875","4187,56","4187,5625","40960,5","40960,5",,361,,40957,"393,5",,,19737,15,,9496,"4162,5625",,"16686,75",,,"1,5",,,2095,,,3532,,,"0,125",,,,,,"18,8125",10,,,,,"98,5625",,,,,,,,,,,,"1,75",,,,,,,,"3,5","2,875",,,,,
suiker (kandij-),sucre candis,pond,"194302,25","194302,25",181777,181777,"335270,75","335270,75",,,15131,,108,28,,"138,5",,,10,16985,,228,,314677,"966,75",,,"64,25",100,,7,,,6,6,,46,,,,31145,,,32550,,,25957,,,"18041,5",950,30,735,70,,58,,,40647,,19414,"79,5",150,"10766,25",2,"3998,75",18357,55,5424,"144160,5",257,10001
suiker (witte poeder-),sucre en poudre blanc,pond,"1294896,75","1294896,75","6496,5","6496,5",1430,1430,,7591,2667,,4,116,,55,10,,16,1102,,1207672,,1224,2002,,,,,,3664,,,34020,,,"8932,5",25,,935,27,,"17255,25",17,,24,"1335,5",,,937,206,,260,,,,,,,,,,,75,,,33,,,12618,,
suiker (bruine poeder-),sucre en poudre brun,pond,6930824,6930824,1723,1723,5752,5752,,,,,,,,,,,,,,2895824,,2202,69795,,,3828757,,3550,,,,,,,,,,,,,,,,,,,,,,,,,,1332,,136448,391,,,,,,,,,,,,,
kleurstoffen (indigo),indigo,pond,56078,56078,2891,2891,17265,17265,,,1418,3265,,,,1628,"17,5",,135,271,,5474,,1736,"57,5",230,,"7771,25",,,32464,,9758,124,,,,,,5165,,,"2223,5",9,,40,"228,5",,,,,,,,,,,184,,,326,11,1936,"100,75",,,5,,,380,706,570
thee,thé,pond,"382988,4","382988,395833333","15097,88","15097,875",34821,34821,,13964,638,,7,106,,321,2,,19049,"13338,5",,158861,,"9500,75","7794,0625","46,5",,"60492,75",50,2950,84013,,17088,"1793,25","6,5",,12159,1,,10,"138,75",1,"78,5",119,,"83,75","136,125",,,"24,75",3782,199,,,,159,,14428,294,,"831,75",2,,"206,75",,362,"490,8333333333","16,75","237,25","8205,75",19,900
katoen (bedrukt),toile de coton imprimé,el,"1546991,25","1546991,25","480546,5","190546,5","103811,75","103811,75",,52417,350,,525,188,,"198352,5",640,,214361,,,"434928,5",,,17261,91,,"188547,5",153,,8495,150,,489,8,,29719,92,,"19733,5",1019,23336,"39864,75",144219,,"14106,5","32049,5","472,5",,332,"312,25",8528,264,3734,57978,3096,,629,4283,,75374,430,333,"47412,5",1555,12907,"54284,5",146,"2567,5",83985,1481,"60149,5"
katoen (wit),toile de coton blanche,el,"1830541,5","1830541,5",1348,1348,0,0,,53888,,,,,,51638,12,,"112754,5",,,1384415,,,1461,,,106619,,,118077,35,,,,,628,104,,,,,162,1130,,835,,,16,67,,48,,,,,,,,,,,,,,,,,,,,
wijn (rode Franse),vin rouge de France,aam,"3159,19","3159,1875","28,88","28,875","379,58","379,5833333333",,"4,5","11,25",,1,,,4,,,,"1,875",,"1043,5",,"251,8333333333","16,4375","3,5",,"1511,5833333333","0,5",29,247,"6,25",69,"121,8333333333",,,4,,,"4,5",,,"0,5","2,5",,,,,"10,8333333333",3,,,,"15,75","17,75",,,"66,5",,,"16,5",,,"2,5",,,,,,"86,25",,14
wijn (witte Franse),vin blanc de France,aam,"46713,34","46713,6666666667","799,58","799,5833333333","94,38","94,375",,"85,5",69,,,"13,5",,"8,5",28,,"2,5","304,75",,"10827,25",,39,"6,625","202,5",,"33545,1666666667","75,5",9,"1704,5",3,42,"27,1666666667",,,"275,875","0,25",,"16,75",22,,8,"11,0833333333",,,"26,5",,"1,5",,,"1,5","1,75",3,,35,,"198,25","2,25",,,,,"4,5833333333",,"1,375",,"4,5",,,,
