Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"776037,5","776037,5",9725,9725,"771823,25","771823,25",,81626,4786,110847,"54,75",6,,208,,,438,1805,,"215176,25",,142793,"3854,25",10,,"215559,75",491,382437,9266,,1994,37447,50,,"6258,25",,,914,541,,32235,1321,,"3708,5",240,3450,,220,98374,13860,,9434,1175,35,,5018,,,5906,109,4069,"2424,5",4,"4008,75","5772,5",78,"8822,5","135135,75",29,5594
steenkool,charbons de pierre,pesée',9173,9173,"40699,75","40699,75",45,45,,,29198,,"7254,5",396,,19,,,,2050,,,,,,40,,,,,,,,,,,,,,,,,14,16,,,5841,,"13,75","127,5",,871,2140,7,,466,,,,,,,,534,,,2,,28,"464,75","425,25",10
steenkool (klein),menu charbons de pierre,viertel,"250882,88","250882,875","212148,25","212159,25","5149,5","5149,5",,,1945,,"9768,125","154,5",,"825,5",,,6,,,47254,,,46,18,,6159,,,9865,,,"3328,75",,,,,,2054,1443,,"139617,25",21352,,"456,75","149057,25",,87,1065,99,"132,5",14169,"3,5",1066,"3609,5",312,23763,735,,,,,250,12,4,3,,148,6201,18599,4583
steenkool,charbons de pierre,kar,2719,2719,"16754,38","16754,375","6932,17","6932,1666666667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,2064,,4,10,484,,,,,587,"44,625","1549,1666666667",15,,7,41,"246,75",7,2,15975,5365
steenkool (klein),menu charbons de pierre,kar,413,423,"1323,5","1323,5","815,5","815,5",,,,,,,,"6,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,622,,266,"575,5","735,5","56,5",122,,,,,,,,,,,50,4,80,,,
kant (linnen),dentelles de fil,gulden,4889,4889,92602,92602,3469,3469,,106,,,118,11600,,175,107,,238,,,,,,235,,,,,,,,,,,,1195,6958,,265,,,15,,,147,7026,305,,22705,185,,,,,,,,,,557,42527,,158,,119,183,1639,2860,1497,40,
zijden stoffen,etoffes de soye pure,el,"13969,5","13969,5","30427,5","30427,5","2436,5","2436,5",,,201,,60,19,,,55,,,27044,,56,,,,,,122,"206,5",,,2160,,,,,63,,,14,20,,,,,"6,5",,,12,6,33,,,,,,,,,,6130,465,1122,758,,321,698,,"20,5",6050,251,940
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"1060457,5","1060457,5","254890,25","254800,25","327677,25","327677,25",,,,,,,,4390,,,18883,,,270711,,825,71838,,,,,,,,,,,,"14276,5",8,,25,,,,,,1368,,,5232,180,72858,8468,,4277,6230,230,,,,,16593,"13398,5",4700,5860,17692,"16374,25",21569,"65041,75",57843,615014,158250,170800
wol (Spaanse),laine d'Espagne,pond,389874,389874,637,637,535461,535461,,,,386046,23294,,,,,,,,,,,,7378,,23765,2807,,,183440,637,103050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172955,,22600
wol (gewassen),laine lavée,pond,"108651,5","108651,333333333","128864,25","128864,25",665103,665103,,,52,,16254,8,,37839,,,,9361,,,,,,1163,,44939,12,614669,,,,,,,3100,150,,"2843,3333333333",31347,231,452,9569,,516,1424,,488,412,48973,,,,1511,280,,80,3863,,281,166,,164,"1478,25",,184,69579,1230,,,
