Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"2262601,25","2262601,25","3706,00",3706,"2928569,50","2928569,5",,"257147,5",702,1016405,535,6,,"3775,5",2,,"66968,5",67,11732,"333939,5",,672592,"7370,5",,,919915,2,720957,"95940,5",49,100633,37274,,,"3939,5",,,"4337,5",57,,"51722,75",696,,643,"74,5",,63,"467,5",156064,8998,26,171904,3579,93,555,26386,553,25,21930,26,13578,"9914,5",8,"7597,5",49326,20,16936,358896,857,39591
steenkool,charbons de pierre,pesée',"19913,13","19913,125","40671,58","40671,5833333333","223,67","223,6666666667",,,32122,,"18901,5",952,,60,,,,2236,,,,,,10,,,,,,,,,,,,503,,,,,83,236,,,"2145,75",,,14,,472,"1822,5",12,17,"578,8333333333",3,,,,"3,5",,,"321,625",,,,,,"54,5","51,5","208,6666666667"
steenkool (klein),menu charbons de pierre,viertel,"314877,75","314876,75","203654,50","203654,5","7432,00",7432,,,1880,,17001,"393,5",,557,,,33,,,50583,,,116,1,,"49,5",,,9618,,,"4729,5",,,11,52,,"3475,5","630,5",,"189254,25","15532,5",,2463,"163146,25",,89,877,27,"1130,5","18121,25",31,,,,"34417,5","209,5",5031,,,,,,,183,,65,1166,2811,2278
steenkool,charbons de pierre,kar,"1034,50","1034,5","11644,88","11644,875","7349,50","7349,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,"554,5",,,"12,5","61,5","0,5",,,,"408,5","51,875",592,,,,34,"89,5",20,25,11432,6737
steenkool (klein),menu charbons de pierre,kar,"2425,75","2425,75","3250,50","3250,5","704,50","704,5",,,,,10,10,,,,,,,,1101,,,,35,,,,,,,,,,,,,,,,,,,,,300,,"5,5",1180,29,"1124,5",287,628,"168,25","1438,5","39,5",,,,,,,"14,5",,8,2,,,,,
kant (linnen),dentelles de fil,gulden,"3858,00",3858,"25988,00",25991,"27102,00",27102,,9,60,,61,2702,,8,,,250,390,,,,,4,,,122,,,10,,,,,,809,5670,,192,,26198,91,,,764,50,,,460,180,40,,,16,,,,,,440,15823,,989,48,64,1,781,660,52,7,
zijden stoffen,etoffes de soye pure,el,"16502,25","16502,25","32087,00",32087,"564,83","564,8333333333",,,,18,,110,,"16,25",81,,368,30733,,,,,52,,,,"100,25",,,164,,,,,,56,,11,,,,,,,"153,75",,,,"100,5",,,,,54,,,,,"12478,5",,122,"1087,5",18,"209,8333333333",393,552,64,2096,65,"50,5"
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"195923,00",195923,"158901,75","158901,75","1084918,50","1084918,5",,,4,,5190,60,,,,,,,,,,,20551,,,103720,"9,5",850208,,,,,,,17631,,,,,,,,,171,10,,9053,,65270,4275,97,24938,3857,3,81337,621,,5728,2280,"35676,75",11018,3463,24776,"12833,5",830,"98099,5",32470,24281,166,1116
wol (Spaanse),laine d'Espagne,pond,"689525,50","689525,5","10728,00",10728,"961837,00",961837,,,,857664,,,,,,,,,8911,,,,225,,3170,,,,149956,,3155,,,,245,,,20,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,"539067,5",10728,88937
wol (gewassen),laine lavée,pond,"49372,00",49372,"53865,00",53865,"85955,00",85955,,,8,,11248,,,21087,,,,,,,,,852,,,,,,,,,,,,,,,3358,28819,1043,50,5746,,3965,24,,3320,,82196,1110,,,20,25,,70,"637,5",240,5,675,,893,3783,116,3394,"13617,5",2360,,530,
