Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
wol (gekamd),laine peignée,pond,"2477,00",2477,"126485,75","126485,75","11756,00",11756,,,,,,"88,25",,,,,1280,7138,,,,,,,,,,,,,,,,,,4,,510,44287,,287,72113,,"98,5",941,,274,34,11751,"27,5",723,,,"1157,5",,,,,,,,,,,,,5,,,
zout (wit),sel blanc,viertel,"20282,46","20282,4583333333","3139,46","3140,4583333333","14446,78","14446,7777777778",,401,"147,625",10562,,"43,5",,"11,3333333333",,,"8,5",,,"663,0833333333",,1436,,,,,,,,,,"2497,125",,,"85,5",,,2,,,,"0,5",,"0,25",543,,,5,"621,5",,"2233,5",,1,122,,"0,6666666667",,,"8678,125","0,6666666667",300,"1079,5",,738,"5353,375",28,"745,5",1501,"16,6666666667","43,7777777778"
zout (grijs of grof),sel gris,viertel,"54869,06","54869,0625","121,00",121,"0,00",0,,106,"90,5",,,,,,,,,,,,,,"15462,25",,,,,,"38964,0625",,,"312,75",,,,,,,,,,,,,,,,"30,5",,,,,,,,,,,,,,,,,,,,24,,
zijde (ruwe),soye crue,pond,"65317,63","65317,625","1580,56","1580,5625","11792,00",11792,,"3374,5","0,75",11379,"250,25",,,26338,,,18642,"1412,5",,11396,,,,141,,4936,,,324,,,"1,25",,,,,,5,18,,"18,25","0,3125",,"14,125",8,,,,,,,,6,,,10,,,,,,,,,"2,25",,413,,,
suiker (kandij-),sucre candis,pond,"224145,75","224145,75","226753,75","226753,75","837029,00",837029,,"13,5",9031,697983,29,82,,46,,,"19,5",4384,,557,,101654,58,75,,"43,5",12,2470,,,,3,,,22,,,,1901,,"0,75",137384,,,215,,,"39582,5",,,1791,672,394,2029,14,,30209,,29013,40,,"17125,5",,"4269,5","44905,5",16,"19376,5","131915,5","2,25",10590
suiker (witte poeder-),sucre en poudre blanc,pond,"2418052,50","2418052,5","12361,00",12361,"9195,00",9195,,5322,7467,6580,,35,,1293,,,175,273,,304142,,,,,,2106319,,1650,,,,,,,"801,5",,,,221,,,,,,350,,,3273,180,,742,,,,,,,,,,,,,,,,785,,,
suiker (bruine poeder-),sucre en poudre brun,pond,"9419704,25","9419704,25","2781,00",2781,"0,00",0,,,,,,,,,,,,,,1843439,,,"9916,25",,,5958211,,,1478631,,,48881,,,23,,,,,,2558,130,,,,,,,,,,,"29,5",2083,,72697,558,,486,,,,,,6,,,"4826,5",10,
kleurstoffen (indigo),indigo,pond,"41191,75","41191,75","6292,50","6292,5","22815,00",22815,,525,"1492,5",17495,,,,1774,21,,,3447,,"8612,25",,10,226,185,,7395,400,615,20568,,,331,,,,,,699,30,,124,,,,37,,,,,,2,,,3,,614,,,158,1,4196,"32,5",,499,123,,,10,674,
thee,thé,pond,"571043,25","571043,25","3102,63","3102,25","107914,25","107914,25",,"43430,5","1473,5",7909,36,"17,25",,"1005,5","42,25",,"15907,5",810,,"144617,75",,"8589,25","2252,625",,,"207194,5",10,"43351,5",118503,,36441,590,125,,6150,1,,989,"9,5",,"1378,25",124,,29,"209,75",,,"36,625",5247,"272,5","16,25",,"79,5","99,75",17,"19761,25",,4865,,,,"318,5",,"267,5","1174,875",10,"272,75",7353,"117,375","954,25"
katoen (bedrukt),toile de coton imprimé,el,"1564409,50","1565409,5","165989,75","165989,75","64453,50","64453,5",,"204461,5","756,5",,"962,5","71,5",,"196131,5","131,5",,331876,,,372658,,,7727,,,"78061,25",279,5450,40788,,2305,677,"25,5",5582,"25528,75",6,,"24878,25",17,27163,144229,123721,,"15646,5","13425,5",,"431,5","3349,5",8369,348,"203,5",146,4739,"1595,25",76,"388,5",21345,,22676,15,,"23058,75",158,14629,"15154,75",,707,"54987,75",890,"26,5"
katoen (wit),toile de coton blanche,el,"1861571,00",1861571,"53,50","53,5","14,00",14,,391,"3,5",,,,,166872,,,201070,,,1081762,,,297,,,103010,,,305719,,14,,,,797,,,,,,,,,,50,,,,,,,,1653,,,,,,,,,,,,,,,,,
wijn (rode Franse),vin rouge de France,aam,"4807,19","4807,2208333333","163,50","164,0041666667","946,46","946,4583333333",,"132,3333333333","65,0833333333",110,3,"25,25",,"5,25","6,25",,"2,75","35,5",,"1034,2333333333",,"56,5",4,"4,5",,1265,"0,4583333333","57,375","463,75","3,5",311,"107,5",,,"0,75",,,"158,625",,"5,75","532,875","1,4",,"149,8","2,4166666667",,"304,125","1,5","299,9583333333","4,5","0,375",21,"97,75","3,625","5,25","158,3333333333",,"7,5","20,25",6,,"0,5","0,75",,"86,1875","7,0625","2,25","275,7083333333","0,3333333333","69,875"
wijn (witte Franse),vin blanc de France,aam,"47171,33","47171,3333333333","1235,48","1236,6952380952","220,75","220,75",,,"130,6666666667","29,75","4,5","1,5",,"10,5","61,25",,"41,25",469,,"12510,875",,"35,5","608,25","289,625",,"31900,875","141,4166666667","92,5","1312,25","13,5",12,"126,5",,,"270,75","1,9166666667",,"5,6666666667",6,,"7,1666666667","7,35",,6,"29,9285714286",,"0,75","9,75",,"3,5","9,9166666667",,1,"41,125",,"199,5",12,"1,5",127,"5,5",48,18,"3,5","1,5",,"1,25",,17,"1,5",
