Product,Franse vertaling,meeteenheid,I 1764,Controletabel Invoer,U 1764,Controletabel Export,T 1766,Controletabel Transit,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Navagne Invoer,Navagne Uitvoer,Navagne Transit,Roermond Invoer,Roermond Uitvoer,Roermond Transit
koffie,caffé,pond,644818,644818,"8903,5","8903,5","462112,5","462112,5",,588,,67,,,4370,,,289,246,,244129,,139417,"24541,75",,,"153739,5",,233165,6959,,12060,862,,,119,246,,48,"664,5",,4289,1511,,,,,,2529,,4918,1921,2,"101,5","566,5",87,"3680,5",,8771,"43066,75","259,5","3386,5",6165,,14807,143309,339,31798,4164,33,18619
steenkool,charbons de pierre,pesée',"56057,75","56057,75",8832,8832,"1783,25","1783,25",14,"4232,5",,5385,167,,4,,,,332,,,,,,37,,,,,,,,,,,,,,,,,24,,,,2282,,2013,1221,,,,,6,176,,,,850,,,,264,,,"48166,25","252,5","902,25","181,5",132,31
steenkool (klein),menu charbons de pierre,viertel,"189075,1","189075,1","174891,17","174891,16666667","1636,5","1636,5",8,"4626,5",,"7609,75","86,5",,"270,1",,,"2,75",,,62155,,,66,2,,664,,,4084,1210,,504,,,13289,1196,1015,11,"9,5",,"93179,8333333333","20384,66666667",,459,"119483,75",,35,103,,1984,"7630,5",241,176,1365,"327,5",,,,,,,12,25,9,"4250,6666666667","18642,75",1,315,126,43
kant (linnen),dentelles de fil,gulden,4332,4332,9256,9256,11431,11431,815,195,,56,2,,25,,,345,,,525,,,,,,150,836,,,970,,,,,,,,254,100,,,20,,,,2500,100,,,,,,,,,248,579,1845,814,6450,,368,4,15,151,,6626,481,100,445
zijden stoffen,etoffes de soye pure,el,"26872,5","26872,5","45039,5","45039,5","11319,25","11319,25",,12,,,,,250,,,,41598,,15120,,,6,9,,,135,,,,,,,,,104,,,36,,,3046,,,,,,,,,,,,,,3232,,598,"7119,5",,755,49,"0,5","353,25",1096,31,453,,68,9160
wol (ruw of niet gewassen),laine brute ou non lavée,pond,356328,356328,289,289,965,965,,,,31252,20,,30156,,,,,,,,,91572,,,2640,,,,,,,,,2217,,632,,,,,,,3069,18,,22808,,,6126,104,,1298,87,12,,,,,,,138,,38,165052,60,283,,,
wol (Spaanse),laine d'Espagne,pond,"488450,5","488450,5",19897,19897,861448,861448,,,,,,,,,,,,,,,,5800,,51940,,,,65404,6020,268553,,,,,,,,,,,,,,,,,,,,,,"75,5",,,,,,,,,,,,417171,13877,540955,,,
wol (gewassen),laine lavée,pond,"587686,5","587686,5","131304,75","131304,75",1304269,1304269,,,,19045,"34,5",,,,,33519,,,457833,,6885,,,,36695,78,490832,,,,,,,"0,5",2827,,1566,2965,,30,6904,,1580,,,875,2,,2969,710,,4815,163,26,858,68188,31406,19333,"21190,75",3,4770,"24169,5",7612,3448,3990,310575,350,83,456930
wol (gekamd),laine peignée,pond,"2139,5","2139,5",256241,256241,"2453,5","2453,5",,,,,30,,,,,,,,,,,,4514,,,,,,,,,,,,1516,,447,66972,,575,170468,,"675,5",4866,,,10,,132,1179,15,246,6614,,39,,"6,5",,,,,72,2432,25,,,,,
zout (wit),sel blanc,viertel,"16766,28","16766,4083333333","1932,71","1932,270833","8279,17","8279,1",646,2,,,73,,12,,,,,,"2503,25",,2157,"3,5",,,,,,260,,,,,,,,,"0,0666666667",,,,"0,5625",,"0,2666666667",,,,33,,,"685,333333",,"1,125","0,875","67,5","975,7",,"573,8","9633,3",1,"330,3","1381,3","2,9","293,2","1086,9","5,1","513,8",263,"1128,5","4343,5"
