Product,Franse vertaling,meeteenheid,I 1764,Controletabel Invoer,U 1764,Controletabel Export,T 1766,Controletabel Transit,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Navagne Invoer,Navagne Uitvoer,Navagne Transit,Roermond Invoer,Roermond Uitvoer,Roermond Transit
zout (grijs of grof),sel gris,viertel,"32722,75","32723,75",268,268,0,0,,98,,,,,,,,,,,,,,,,,6066,,,26477,,,"180,75",,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"43047,88","43047,875","1326,25","1326,25",0,0,,"1,25",,"637,25",2,,15493,,,11638,"951,5",,13263,,,52,132,,,"224,5",,,,,,,,,,,,15,,,,,"12,625",,,,,,,,,,,,,,,,,,,,,,,,1952,,
suiker (kandij-),sucre candis,pond,"160228,13","160218,125",110001,110001,"246586,75","246586,75",40,4468,,15,66,,22,2,,18,11830,,516,,"147236,5",1541,,,"76,5",8,,4,60,,236,,,"2,5",38153,,2,11951,,,12016,,,"17585,5",,,"11784,5",,76,1131,8,55,234,78,"8704,25",,"4706,5","9796,75",225,2040,17235,150,13605,"116411,625",192,"35128,75","5466,5",145,43784
"suiker (poeder-, dure)",sucre en poudre blanc de haut prix,pond,23739,23739,"2441,5","2441,5",57745,57745,13110,263,,,,,,,,3,853,,9062,,,110,,,1454,,57745,,,,,,,,,,,,,,,,,,,,"1325,5",,,,,,,,,,,,,,,,,,,,,,
"suiker (poeder-, goedkope)",sucre brun bas prix,pond,10561449,10561449,54413,54413,8188,8188,213220,26127,,,,,225,,,,,,6805153,,598,4002,,,3434507,,,86669,,,386,,,3592,8564,,,12228,,,2327,,,1615,,,,,4,1077,2,,2475,1,95,,6,,,8,,,,10630,,1889,2966,,5684
kleurstoffen (indigo),indigo,pond,40275,40275,"3497,5","3497,5",8494,8494,8,1299,,,,,689,,,,,,"9886,5",,,335,,,5937,360,,"17120,5",900,,200,,,"1023,5",,,"920,25",,,"3446,5",18,,21,"122,5",,,,,7,24,,,,,,,,241,4,,"12,25",,,420,720,,"7,5",50,8494
thee,thé,pond,"647543,88","647543,875","14112,25","14112,25","74875,75","44625,75",16384,"714,5",,21,15,80,"5582,75","49,5",,32400,1391,,"339601,5",,14645,"25326,25",96,,68095,232,12650,150185,348,3361,"458,25",,,"1,75",5348,,"5,25","1662,5",,"767,5",2196,,"10,5",1095,,,381,,"13,5",146,"0,25","102,75","296,25","20,75","500,5",,"491,25","18,625","128,5",1,"242,25",1,"390,5","6425,25",6,4325,"1402,25",6,8661
katoen (bedrukt),toile de coton imprimé,el,966625,966625,152724,152724,"45136,5","45136,5",18448,585,,242,12,,295200,71,,109927,,,144467,,,12996,26,,172248,762,,12658,499,,184,,,7379,"4837,5",1019,46,174,,82801,127367,,3490,"13995,5",,,,,2511,110,,"21838,5",3582,531,29056,,19140,"41490,5",668,"834,5",2966,27,5334,8659,,956,18,8,17322
katoen (wit),toile de coton blanche,el,242322,242322,30748,30748,432247,432247,,,,"3,5",57,,26795,11130,,"61711,5",,,18696,,,1250,,,1154,,,,,,,,,874,,,23419,1200,14265,81,853,,,,,46,160,,3979,60,,168,,,,,,,,,8022,,8623,43227,11740,201233,52896,5548,208126
katoen (voor bedrukking),toile de coton blanche pour imprimer,el,679461,679461,0,0,0,0,,,,,,,,,,,,,679461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wijn (rode Franse),vin rouge de France,aam,"1159,5","1159,5","34,63","34,625","55,83","55,8333333333","4,3333333333","4,25",,,,,,,,"1,5","17,125",,"689,75",,"44,5","5,1666666667","8,75",,277,3,,,,,"47,25","0,5",,"103,5","0,5","0,3333333333",12,,,"8,5","0,5",,,,,,,,,,,,,,,,,,,,,,,"10,5",,"3,5",,,"7,5"
wijn (witte Franse),vin blanc de France,aam,"28224,88","28224,2083333333",314,314,119,119,"0,0833333333","43,75",,,"5,25",,16,"9,75",,"12,625",123,,"5598,5",,115,"237,0833333333","45,75",,21192,"38,25",,"975,6666666667",21,,,,,"180,75","9,75",,,"5,5",,"0,5",,,,"4,5",,,,,,,,,"7,5",,,,,,,,,,,11,,4,,,
