Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"1357596,75","1345469,75","3060,00",3060,"1863018,50","1923018,5",,134078,100,339036,"315,75",85,1243,"1882,5",,,"92649,5",181,12170,107720,,380886,"2536,75",150,,596534,6,763728,45330,360,98724,34517,120,,6968,,,2590,44,,"38626,5",287,,1323,237,,937,82,235413,9404,36,"59057,5","815,75",271,"14,5","25994,25",22,40,17885,173,7220,"4424,5",8,"4093,5","15936,75",31,16501,"205001,5",867,4892
steenkool,charbons de pierre,pesée',"12695,00",12695,"46531,14","46531,1388888889","1584,83","1584,8333333333",,,35505,,10306,"740,75",,"24,6666666667",,,,2418,,,,,,8,,,,,,,,,,,,"864,3333333333",,,,,"134,5",,,,2974,,,,,1669,"1669,5",36,40,"376,5555555556",,,,,,,,200,,21,186,8,345,"134,8333333333",1967,"1182,8333333333"
steenkool (klein),menu charbons de pierre,viertel,"416564,42","416564,416666667","168114,75","168114,75","11284,50","11284,5",,,572,,"10417,5",245,,1180,13,,"6,5",,,"133800,5",,,"1,25",,,5008,639,,13292,275,,4224,,,12,50,,6342,"1143,75",,"202463,5","13766,5",,"45,5","124348,5",,43,1269,46,"995,5","18163,5",51,"552,5",2709,336,35821,"246,5",7778,,,,"39,6666666667",,,"461,5",3,"12,5","1858,5",4671,3061
steenkool,charbons de pierre,kar,"2093,75","2093,75","8388,58","8388,5833333333","11510,00",11510,,,2,,,,,,,,"0,5",,,603,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,"547,5",9,,,"60,8333333333",,,,,"739,25","29,25",1238,2,,9,48,"92,5",1,"132,5",8194,10262
steenkool (klein),menu charbons de pierre,kar,"1491,00",1491,"3186,42","3186,4166666667","699,50","699,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1078,265,"1393,5","285,5","431,5","65,5","1822,9166666667",,,,,,,,,,3,,,,,,
kant (linnen),dentelles de fil,gulden,"3958,00",3958,"53686,00",53686,"8265,00",8265,,550,40,,27,10097,,,,,5,,,,,,2,,,29,,,1700,,,,,,161,,,270,,6936,,,,5,5528,,,3813,530,8,,,,4,,105,,,204,32334,5,194,,134,25,1843,660,673,27,
zijden stoffen,etoffes de soye pure,el,"11528,25","11528,25","32479,75","32479,75","660,50","660,5",,32,70,6,,27,,,101,,,31848,,1640,,,,,,,"165,25",,,113,,,,,,"4,5",,196,,,,25,,7,"15,5",,,,241,,,,,,,,"68,25",,8240,,280,"127,5",,120,"291,5",3,3,"994,25","39,25","10,5"
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"183528,50","183528,5","85468,75","85468,75","952089,50","952089,5",,,,,2990,,,,,,,,,,,,30971,,,73151,66,826754,,,,,,,11230,,,,4,,,,,2807,50,,12830,,37990,9107,10,9435,10516,115,24300,,,5000,7200,17991,5408,"10314,5","6551,75","22864,5",1404,58523,17848,11008,2158,2490
wol (Spaanse),laine d'Espagne,pond,"616907,00",616907,"9836,00",9836,"930091,00",930091,,,,733060,,,,,,,,,,,,,4375,,8650,,,,91322,,112176,,,,50,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,175,,,520949,9836,76205
wol (gewassen),laine lavée,pond,"33337,00",33337,"113160,00",113160,"93768,00",93768,,11,,,20891,,,7508,,,,,,,,,,,,,,,,,,,,,,,,1275,"24617,5",428,175,"8661,5",,1313,,,80,,91756,120,,1093,1066,135,6,58,2113,,9,11,,,6999,,1,70623,485,830,,
wol (gekamd),laine peignée,pond,"2030,00",2030,"132936,50","132936,5","10359,00",10359,,,,,,"59,5",,,,,,"5105,5",,,,,,220,,,,,,,,,"3,5",,,,,1605,48782,,151,76536,,,"846,5",,,39,10348,230,"156,5",,4,"1153,5",11,40,24,,,,,,,,,"10,5",,,,
zout (wit),sel blanc,viertel,"20713,71","20713,7083333333","2288,25","2288,25","13543,10","13540,0972222222",,737,"75,625","10145,125",,"52,5",,"27,625",,,"15,5416666667",,,"663,5833333333",,1675,4,136,,"322,5",,,,,,"3223,75",,,"72,625",,,"2,6666666667",,,"0,125",,,,34,,2,,"526,5",2,"1898,125",,"1,3333333333","54,6666666667",,"1,125",,,"11279,3333333333","4,4444444444","221,5555555556","572,5","6,6666666667","644,5","2284,6666666667","21,7777777778","297,0833333333","1501,3333333333","4,4444444444","30,3333333333"
zout (grijs of grof),sel gris,viertel,"54199,13","54199,125","32,50","32,5","0,00",0,,,12,,,,,,,,,,,,,,,,,,,,"54082,375",,,"6,75",,,,,,,,,110,,,,,,,"20,5",,,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"33171,13","33171,125","3442,63","3442,625","10367,00",10367,,"16,25","33,75",8327,"83,5",,,"10411,5",6,,7397,3282,,11364,,,33,"50,625",,3031,,,761,,,,,,,,,"27,0625",26,,19,"34,25",,"25,0625",10,,,,,,,,,,,"0,25",,,,,,"2,5",,,,,2040,,,
suiker (kandij-),sucre candis,pond,"244040,00",244040,"228165,50","228165,5","694137,25","694137,25",,74,23920,606903,19,176,,"50,5",2,,31,15502,,"146,5",,74018,13,1500,,16,,,1,,,"5,75",,,101,,,,5493,,"1,5",112426,,,2811,,,37089,4,3,5127,,"95,75",1141,3,"1,5",22411,,"30423,5",201,"10,5","18070,5","10,5","3329,75",35008,134,5945,"159978,5",222,3924
suiker (witte poeder-),sucre en poudre blanc,pond,"462656,50","462656,5","16243,50","16243,5","1895,00",1895,,1205,13134,289,,146,,"583,5",,,338,1433,,5326,,,,,,448505,,200,,,,,,,6666,,,,,,,,,,,,,"465,5",1406,,1065,,,,,,,,,,,23,,,10,,,,,
suiker (bruine poeder-),sucre en poudre brun,pond,"9525936,50","9525936,5","7874,00",7874,"787,00",787,,,,,,,,,,,,,,1265638,,743,"78522,5",3550,,6927688,545,,966243,,,35215,,,"275,25",,,3230,51,,9109,,,,1460,,,,,,,,1,1835,1,"224276,75",233,43,,,,,,,,,,15738,200,
kleurstoffen (indigo),indigo,pond,"39504,00",39504,"3785,00",3785,"17178,00",17178,,138,18,9270,,,,1231,29,,,2873,,7489,,1887,642,,,4894,370,,17522,,5876,579,,,"164,5",,,4492,,,"1856,5",,,,163,,,4,5,,"3,5",,,,,259,,,133,"15,5",15,25,,,61,27,,18,282,125
thee,thé,pond,"303198,88","302404,875","3591,00",3591,"47211,50","47211,5",,"20,5",340,345,"50,5",12,,400,"87,5",,"17233,75","529,5",,168744,,41693,"11207,25","126,5",,"56536,875",4,"620,5",26302,,2485,"1563,75",,,9404,12,,5,5,,"21,5","165,5",,"10,5",91,,30,11,"73,5",209,69,"0,5","82,75","215,25","22,75","37,75",1877,54,"531,25","5,75",15,"207,5",,"200,75","418,75",8,"337,5","9388,25",32,1364
katoen (bedrukt),toile de coton imprimé,el,"1649006,08","1649006,08333333","132278,00",132278,"77140,00",77140,,106182,755,7243,"286,75","191,5",,221454,1061,,"207689,75",2,,596264,,2235,"12991,5",,,109310,3156,,"23119,5",517,,855,,,32701,925,,"43151,5",,40573,"41240,25",102281,,28304,4386,,794,7564,"2460,5","24,5",2151,1585,"49019,5","3879,75",172,4264,4134,,21601,"321,75",1968,30962,58,18989,"32229,3333333333",165,"1884,5","86562,5",730,30
katoen (wit),toile de coton blanche,el,"1325695,75","1325695,75","6462,00",6462,"23,50","23,5",,11370,,,28,,,155024,20,,100460,,,673569,,,363,,,44330,,,321799,,,,,,2246,,,,,,"9082,5",6331,,,,,,,,,6,,"3150,25",105,"23,5",,,,,,,,,,,,,4274,,
wijn (rode Franse),vin rouge de France,aam,"5805,35","5805,7541666667","149,75","149,4166666667","1069,13","1069,125",,"95,25","38,25","122,5","0,75",,,"4,25","0,25",,"23,5",37,,1241,,119,"3,5","7,5",,"1144,875","25,5","157,375",503,3,"183,6","123,5",5,,"10,5",,,"10,75",3,1,"1364,4375","0,125",,125,"8,3333333333",,"516,425","0,375","334,8","130,5","0,3333333333",26,60,"2,75","9,95","76,1666666667",,,24,"0,5",,4,,"3,5","108,85",3,9,"235,5","14,5","102,4"
wijn (witte Franse),vin blanc de France,aam,"49328,80","49328,815","1006,31","1009,325","223,30","223,3",,"18,625","105,0416666667","63,3",2,31,,"6,5","48,75",,4,"325,75",,"13071,25",,"44,5","14,5","303,5",,"32530,5","85,5833333333","73,5","1837,5","18,5","15,5","168,75",,,"358,5","0,875",,4,"13,3",,"1,5","1,6",,"5,8","27,9",,,,,"6,25","14,8",,"4,5","25,875",,"153,04","6,75",,"1121,75",,"23,5","11,75",,,"0,1","0,1",,8,,3
