1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
darmsnaren,,pond,"1256,44","1256,44",,"139,25","139,25",,"29,00","29,00",,"-1117,19",optelfout verbeterd,"210,5",,,"362,125","2,25",,211,,9,42,"1,75",,12,,,,,,12,70,,83,2,,,,,,,,"108,5",,,"104,0625",,,"20,5","3,25",20,,,,,,,"19,5",,,"0,25",,,1,4,,2,,,,,,68,56,
touwen (lindeschors),,pond,"1599,00","1599,00",,"32,00","32,00",,"0,00","0,00",,"-1567,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,10,,,10,,,,,,146,32,,,,,1253,,,,,,,,,,,,,,
hoorn van ossen en koeien (zonder bereiding),,aantal,"13112,00","13112,00",,"600,00","600,00",,"2950,00","2950,00",,"-12512,00",,,,,,,,,,,,,,,,,6000,,,,,,,,,,,,200,,,,,,,,,32,,,,,2350,450,,,6430,,600,,,,,300,,,,,,300,,,,
hoorn (bereid voor lantarens),,pond,"7981,00","7981,00",,"4,00","4,00",,"18,00","18,00",,"-7977,00",,,4,,,,,,,,,,,7002,,,,,,815,,,,,,"6,5",,,,,,51,,,35,,,,,,,,18,,,,,,,59,,,,,,,,,,,,"12,5",,
hoornstukken,,ton,"0,00","0,00",,"9,17","9,17",,"0,00","0,00",,"9,17",,,4,,,,,,,,,"5,1666666667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
katoen (ruw),,pond,"362136,50","362136,50",,"1514,00","1514,00",,"39763,00","39763,00",,"-360622,50",,,,946,125,,,,,,952,1193,,311273,,12857,1070,,,43031,2,320,460,,,,,,,22,,,,,467,2,,141,,,,25,,,,,30,,,"106,5",,,1648,,24936,1124,20,251,18,,450,1691,250,3
katoenen wieken voor kaarsen,,pond,"2757,00","2757,00",,"16777,00","16777,00",,"442,00","442,00",,"14020,00",,91,367,,,245,,,759,,,8661,,,,,,,,,"41,5",,,1251,,,,,,16,,16,10,,25,202,,6,2122,,,"104,5",66,,70,,2000,302,,,477,,"17,5",,24,"17,5",425,342,"123,5",,10,"460,5",1724,
wollen dekens,,aantal,"13983,00","13983,00",,"339,00","339,00",,"3191,00","3191,00",,"-13644,00",,,9,,6691,22,,839,8,,13,27,,6,,,17,1,,948,,,97,,,21,,,12,,,824,3,,677,10,,63,2,,9,5,43,35,149,5,192,55,8,431,3,,528,31,,2314,1,2973,95,9,28,171,4,134
wollen dekens,,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dekens (in hennepwerk of van mindere kwaliteit),,aantal,"503,00","503,00",,"40248,00","40248,00",,"45,00","45,00",,"39745,00",,,8650,,,10151,,,479,,54,538,,,,,,367,,,29,,,,,,,,,16974,,49,,,,2867,,,190,,,,36,,3,,,,,330,,,63,,9,,,,7,,,,,
dekens (in hennepwerk of van mindere kwaliteit),,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sierdekens (bedsprei),,aantal,"154,00","154,00",,"3,00","3,00",,"11,00","11,00",,"-151,00",,,,,,,,2,,,3,,,77,,,2,,,26,,,,,,,,,1,,,,,,,,,,,,,,,,,,12,3,1,,,,25,,10,,,,6,,,,,
sierdekens (bedsprei),,gulden,"1215,00","1215,00",,"13,00","13,00",,"27,00","27,00",,"-1202,00",,,,,,,,22,,,37,,,590,,,20,,,393,,,,,,,,,10,,,,,,,,,,,,,,,,,,40,13,7,,,,58,,20,,,,45,,,,,
koraal (alle soorten),,pond,"10,00","10,00",,"0,00","0,00",,"0,00","0,00",,"-10,00",,,,,,,,,,,6,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paardehaar,,pond,"19824,50","19824,50",,"1981,00","1981,00",,"1387,00","1387,00",,"-17843,50",,4,378,,572,285,,156,12,,492,390,,12542,,,181,5,,"501,5",40,,61,,,9,4,,755,,,846,248,,"2495,5","289,5",,220,18,,100,,65,107,,,"411,5","24,5",,116,90,,73,42,1227,8,80,95,30,50,,144,25,
paardehaar (bewerkt),,gulden,"599,00","599,00",,"290,00","290,00",,"0,00","0,00",,"-309,00",,,,,,,,3,,,,,,100,,,,,,,,,,,,,,,,,,197,,,29,275,,48,,,,,,,,,10,,,172,1,,40,14,,,,,,,,,,
kristal (bewerkt),,pond,"271,75","271,75",,"6,50","6,50",,"0,00","0,00",,"-265,25",,"42,5",,,,,,,,,,,,,,,,,,1,,,77,,,,,,,,,"57,5",,,"17,5",,,"12,75","6,5",,,,,,,,"63,5",,,,,,,,,,,,,,,,,
leder (onbewerkt en behaard),,aantal,"3715,00","3715,00",,"2556,00","2556,00",,"2796,00","2796,00",,"-1159,00",,,,,,336,,,69,,,4,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,24,,678,13,51,6,,2004,,,,156,601,18,214,3054,15,1695,23,2,47,,51,
leder (gedroogd en behaard),,aantal,"32367,13","32367,13",,"3300,50","3300,50",,"43325,00","43325,00",,"-29066,63",,,1427,36490,,,,,48,,,205,,,,,857,"0,5",,767,,,30098,,6833,643,,,,,,,,,,,,,,,,,,,,,"2,125",253,,,,,,,,,,,,,,,1367,2
leder (gezouten en behaard),,aantal,"5656,00","5656,00",,"400,00","400,00",,"0,00","0,00",,"-5256,00",,,,,,,,,,,,,,,,,549,,,,,,4225,,,882,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,
leder (gelooid voor bovenschoenen),,aantal,"1746,54","1746,54",,"1295,50","1295,13",,"7631,25","7631,25",,"-451,04",,,,,"49,5","1,125",,,,,,,,,,,,45,,,,,,200,,,,,,34,,,14,7,,8,,,,,,"302,75",7208,"65,66667","198,5","409,5","38,125","465,75","4,75",,,,28,2,,,,,,,,"1565,25",24,2
leder (gelooid voor bovenschoenen),,pond,"47537,00","47537,00",,"623015,25","623015,75",,"1611162,75","1611162,75",,"575478,25",,"168,5",59645,,22,213,,,704,,592,,,8,,,,402,,,15,,,,,10,576,,,,,"23,75",,2400,,"1466,5",,,4605,,,,3880,,243,,,,,4,991,430,"8214,5",436825,"9153,75","11572,75","79655,25",1564072,"3372,5",33903,30648,23549,3772,579
leder (gelooid voor zolen),,aantal,"1737,95","1738,45",,"1947,38","1947,38",,"263,20","263,20",,"209,43",,,6,,52,47,,"107,7",,,"0,5",,,,,,,"93,875",,"38,625",28,,,,,,,,,76,,,,,,1,,,56,,,"4,25",,"16,375",114,,"198,375","1521,25","263,2",,,,,,,,,,,,,"1324,875",,
leder (gelooid voor zolen),,pond,"4224,25","4224,25",,"4237,00","4237,00",,"888,00","888,00",,"12,75",,,,,,14,,30,2676,,,1210,,,,,,,,"36,25",,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,3642,,888,516,,
marokijnleder,,pond,"7732,94","7732,94",,"37,00","37,00",,"0,00","0,00",,"-7695,94",,123,10,,"5631,5",,,"795,8125",,,6,27,,125,,,87,,,"517,25",,,334,,,"17,75",,,1,,,18,,,"5,5",,,"35,875",,,,,,,,,3,,,,,,"30,25",,,,,,,,,2,,
juchtleer (russisch),,pond,"716,00","716,00",,"0,00","0,00",,"0,00","0,00",,"-716,00",,,,,20,,,,,,550,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,
verguld leder,,gulden,"25,00","25,00",,"7812,00","7812,00",,"9,00","9,00",,"7787,00",,,7796,,,,,,,,,14,,,,,,2,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,
koper (ruw in bulk of blokken),,pond,"214423,00","214423,00",,"331,00","331,00",,"208387,00","208387,00",,"-214092,00",,,,,,,,,,,,,,214423,,,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,,,,,,,,,,1350,,,207037,,,,,,
koper (rood en geel in platen),,pond,"28563,75","28563,75",,"170,00","170,00",,"0,00","0,00",,"-28393,75",,20,,,"3363,5",,,2219,,,150,,,19146,,,,,,3525,,,"139,25",,,,,,,,,,,,,,,,,,,170,,,,,,,,1,,,,,,,,,,,,,,
"koper (rood, bewerk)",,pond,"13292,50","13292,50",,"101,00","101,00",,"4,00","4,00",,"-13191,50",,,,,6,,,674,,,,,,9681,,,153,,,1657,101,,,,,693,,,2,,,,,,,,,"2,5",,,,,,20,,,1,,4,,,,,,,,,,,,,403,,
"koper (geel, bewerkt)",,pond,"54918,88","54918,88",,"124148,75","124148,75",,"771056,00","771056,00",,"69229,87",,103,"614,5",425,4582,451,16133,"23283,75",141,384,791,1441,,"1803,5",,,"175,25","1457,5",,"379,125",783,,2087,100,,167,2967,,"42,5",439,,398,502,80,166,1175,,"605,75",6207,,51,76,184,"139,5","194,5",23,857,"101683,5","722,5","258,5",5086,134,"2565,5",169,5110,"12785,25",413,745970,"1713,5",82,773,"1964,75","166,75","1117,5"
koperdraad (geel),,pond,"2224,88","2224,88",,"142,00","142,00",,"121,00","121,00",,"-2082,88",,,20,,,,,"1497,5",,121,,,,435,,,,,,,,,"131,375",,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,126,,,,,,,,,35,62,
koperschroot,,pond,"14596,00","14596,00",,"1400,00","1400,00",,"5435,00","5435,00",,"-13196,00",,,,,,,,4,,,"305,5",,,,,,5994,,,197,,,,,,2896,,,193,,,5,,,29,,,555,,,302,,,150,,,"2496,5",,,100,,,1320,1000,3210,,,961,49,,1016,,400,248
koperwerk (verguld en verzilverd),,gulden,"783,00","783,00",,"77,00","77,00",,"131,00","131,00",,"-706,00",,,17,117,7,,,93,,,,,,,,,,60,,650,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,10,33,,,,,
kant (zijde- en blonde),,gulden,"1382,00","1382,00",,"1047,00","1047,00",,"8149,00","8149,00",,"-335,00",,,100,6226,40,,,,,,120,746,,,,,,,,,,,6,,,,,,,,,2,,1923,150,,,462,150,,,,,,,,5,50,,10,,,11,,,235,,,119,,,222,1,
kant (linnen),,gulden,"4419,00","4419,00",,"27292,00","27292,00",,"24413,00","24413,00",,"22873,00",,731,400,999,327,5756,,21,,,32,,,,,,8,,,51,,,,,,,,,939,2988,,145,,20858,142,,,526,5,,,1218,300,,,,,30,,,,,883,16172,,304,,643,28,723,700,282,,913
"laken (geverfd, hollands en spaans)",,stuk,"27,00","27,00",,"0,00","0,00",,"0,00","0,00",,"-27,00",,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laken (geverfd, hollands en spaans)",,el,"99,00","99,00",,"0,00","0,00",,"0,00","0,00",,"-99,00",,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (wit),,stuk,"36,25","36,25",,"0,00","0,00",,"0,00","0,00",,"-36,25",,,,,1,,,"30,25",,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (wit),,el,"171,00","171,00",,"52,00","52,00",,"0,00","0,00",,"-119,00",,,,,43,,,18,52,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"laken (geverfd, gemengd)",,stuk,"5462,58","5462,58",,"13233,63","13233,63",,"71003,50","71003,50",,"7771,05",,1,517,"35762,25",2,1,62,"55,5",2,,87,48,,,,,,,,408,2,,,"204,125",,,,,,72,,,"8,25",,,,,,13,,,,,,,,,,,,,,,67,,,,47,,,1492,"4909,0833333333","12299,25","33640,25"
"laken (geverfd, gemengd)",,el,"33717,50","33717,50",,"16683,75","16683,75",,"13457,75","13457,75",,"-17033,75",,277,"140,5","735,5","1529,75",307,,"5456,75",320,,370,69,,1024,,,"353,125","3473,5",,20,"101,5",,,,,28,123,,718,27,,"111,125",,6,"663,5",,,"1704,75",95,,"28,5",11,1133,,183,,"239,5",867,87,"6,75","23,5",,"3574,25",1911,430,14112,2475,"10717,25",3341,"23,5",141,"159,5","6533,25",208
laken (de castor),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776 of 5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (de castor),,el,"298,50","298,50",,"10,00","10,00",,"0,00","0,00",,"-288,50",,,,,,,,"294,25",,,,,,"4,25",,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (wit (de douzaines)),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776 of 5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (wit (de douzaines)),,el,"48,00","48,00",,"0,00","0,00",,"0,00","0,00",,"-48,00",,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (geverfd (de douzaines)),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776 of 5777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (geverfd (de douzaines)),,el,"1016,00","1016,00",,"0,00","0,00",,"0,00","0,00",,"-1016,00",,,,,,,,,,,,,,1016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (de pi_),,stuk,"28,00","28,00",,"0,00","0,00",,"0,00","0,00",,"-28,00",,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (de pi_),,el,"763,00","763,00",,"0,00","0,00",,"0,00","0,00",,"-763,00",,380,,,,,,,,,,,,,,,,,,244,,,,,,,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (marokkaans),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (marokkaans),,el,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (dreget),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (dreget),,el,"61788,00","61788,00",,"270,00","270,00",,"94,00","94,00",,"-61518,00",,,,,,,,,,,,,,102,,,27,,,,,,61441,110,,,,,29,,,,,,,,,,,,,,,,,,,,,,92,,12,,,,,,177,68,94,,,
duffel (geverfd),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
duffel (geverfd),,el,"57161,00","0,00",,"0,00","0,00",,"0,00","0,00",,"-57161,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ratijn,,stuk,"64,25","64,25",,"0,00","0,00",,"3,00","3,00",,"-64,25",,,,3,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32,5",,,,,,"14,75",,,,,
ratijn,,el,"3740,00","3740,00",,"124,50","124,50",,"579,00","579,00",,"-3615,50",,"23,25",7,,,,,,,,72,,,546,,,211,90,,,6,,621,,,99,,,,,,60,,,220,,,,"4,5",,,,575,,5,,"36,25",,,,12,,517,,,,,,1249,,4,"85,5",,
karsaai (wit),,stuk,"1,00","1,00",,"3,00","3,00",,"4,00","4,00",,"2,00",,1,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
karsaai (wit),,el,"130624,00","130624,00",,"0,00","0,00",,"1,50","1,50",,"-130624,00",,,,,,,,154,,,16684,,,13600,,,,,,87276,,,3607,,,,,,9181,,,,,,,,,,,,,,,,,,122,,"1,5",,,,,,,,,,,,,,,
karsaai (geverfd),,stuk,"4,00","4,00",,"3,00","3,00",,"3,00","3,00",,"-1,00",,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,
karsaai (geverfd),,el,"3911,50","3911,50",,"6,00","6,00",,"0,00","0,00",,"-3905,50",,,,,,,,,,,193,,,,,,,,,,,,,,,18,,,"3309,5",,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,391,,
frisades,,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frisades,,el,"224575,00","224575,00",,"0,00","0,00",,"0,00","0,00",,"-224575,00",,,,,,,,,,,3346,,,6664,,,"109,5",,,177525,,,36929,,,,,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baai (wit),,stuk,"0,00","0,00",,"1,50","1,50",,"0,00","0,00",,"1,50",,,"1,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baai (wit),,el,"147507,75","147507,75",,"374,50","374,50",,"0,00","0,00",,"-147133,25",,519,,,,,,2,,,21769,,,192,,,89,,,103268,"334,5",,"12493,5",,,82,,,"9093,25",,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,
baai (geverfd),,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baai (geverfd),,el,"10186,50","10186,50",,"22,50","22,50",,"0,00","0,00",,"-10164,00",,,,,,,,1,"22,5",,"1961,5",,,,,,401,,,"14,5",,,,,,,,,"7808,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
berp-op-zoom en flanel,,stuk,"0,00","0,00",,"18,00","18,00",,"26,00","26,00",,"18,00",,,10,26,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,
berp-op-zoom en flanel,,el,"8154,25","8154,25",,"1480,00","1480,00",,"110,00","110,00",,"-6674,25",,6,14,,,,,,40,,24,,,,,,"38,5",,,"6718,75",8,,"1035,5",,,,,,13,71,,,,,,560,,,785,,,,,,,,2,,,,,,182,,,,,,"7,5",2,110,127,,
moltons,,stuk,"2,00","2,00",,"1,00","1,00",,"0,00","0,00",,"-1,00",,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moltons,,el,"3627,00","3627,00",,"568,50","568,50",,"83,00","83,00",,"-3058,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,2624,400,,"335,5",120,,54,24,,,,45,,,,,,6,6,,,374,,,,,,"181,5","4,5",,10,20,32
perpetuanen,,stuk,"728,00","728,00",,"0,00","0,00",,"0,00","0,00",,"-728,00",,,,,,,,,,,728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
perpetuanen,,el,"4991,00","4991,00",,"0,00","0,00",,"0,00","0,00",,"-4991,00",,,,,,,,,,,,,,,,,,,,4021,,,970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laken (zomen en snippers),,gulden,"1228,00","1228,00",,"0,00","0,00",,"0,00","0,00",,"-1228,00",,,,,,,,,,,13,,,971,,,144,,,,,,96,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drogerij (gemengd),,pond,"6042,25","6042,25",,"659,00","659,00",,"47717,00","47717,00",,"-5383,25",,802,,4564,,,220,,,,1202,,,310,,,22,56,,"1972,5",,,,,1902,31,,,,,,,,,9,600,,"4,75",,,,,1586,,3,,,,402,305,,,1300,,38218,,,,84,,825,,,
drogerij (gemengd),,gulden,"55479,00","55479,00",,"6425,00","6425,00",,"1751,00","1751,00",,"-49054,00",,2765,910,52,2233,127,,537,6,,1945,1278,,12561,2895,,8162,146,,9841,84,930,2556,503,,3462,15,,395,57,,1232,8,,1535,,,1212,121,,1,,200,,25,,1635,,195,198,203,,3566,,,269,,211,786,6,161,588,41,2
triakel,,pond,"258,19","258,19",,"6,50","6,50",,"0,00","0,00",,"-251,69",,,,,"4,5",4,,154,,,,,,,,,,,,,,,,,,,,,,,,1,,,"60,75",,,7,"1,5",,,,,,,,"7,9375",,,,1,,2,,,12,,,,,,9,,
balsem en alle soorten elixir,,gulden,"878,00","878,00",,"41,00","41,00",,"35,00","35,00",,"-837,00",,278,31,30,,,,,,,,,,203,,,,7,,,,,266,,,,,,,,,,,,60,,,71,,,,,5,,,,,3,,,,,,,,,,,,,,,,
siroop van vrouwehaar (geneeskrachtig kruid),,gulden,"405,00","405,00",,"0,00","0,00",,"120,00","120,00",,"-405,00",,50,,,,,,,,,,,,,,,,,,,,,107,,70,5,,,,,,30,,,207,,,,,,,,50,,,,,,,6,,,,,,,,,,,,,,
hertehoorn,,pond,"7652,50","7652,50",,"0,00","0,00",,"0,00","0,00",,"-7652,50",,,,,,,,2,,,,,,1401,,,"1572,5",,,286,,,262,,,43,,,,,,1614,,,705,,,1763,,,,,,,,,,,,4,,,,,,,,,,,,,,
honingdauw,,pond,"642,00","642,00",,"0,00","0,00",,"0,00","0,00",,"-642,00",,,,,,,,,,,,,,,,,,,,,,,104,,,23,,,,,,2,,,297,,,193,,,,,,,,,4,,,19,,,,,,,,,,,,,,
kamfer,,pond,"5,00","5,00",,"0,00","0,00",,"0,00","0,00",,"-5,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sperma ceti,,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spaanse vlieg,,pond,"16,00","16,00",,"0,00","0,00",,"0,00","0,00",,"-16,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
rabarber,,pond,"350,50","350,25",,"0,00","0,00",,"0,00","0,00",,"-350,50",,,,,,,,,,,"2,25",,,135,,,,,,,,,1,,,,,,,,,,,,19,,,175,,,,,,,,,,,,,,,18,,,,,,,,,,,
salsaparilla,,pond,"211,50","211,50",,"0,00","0,00",,"0,00","0,00",,"-211,50",,,,,,,,,,,,,,188,,,13,,,,,,,,,,,,,,,,,,"6,5",,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
boomschors (kina kina),,pond,"7,00","7,00",,"0,00","0,00",,"0,00","0,00",,"-7,00",,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pokhout,,pond,"1330,00","1330,00",,"0,00","0,00",,"0,00","0,00",,"-1330,00",,,,,,,,,,,,,,830,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oragie,,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoethout en sap van zoethout,,pond,"193172,00","193172,00",,"7274,00","7274,00",,"9841,00","9841,00",,"-185898,00",,392,245,1850,1,,,,,,,1054,,23037,4982,,8556,,,106595,2,1735,43146,300,,"2157,5",,,1005,,,842,,,1257,,,1132,261,,,19,2085,,203,,,133,10,3236,,,233,75,3961,26,,,"216,5",,,1340,,200
salsafra,,pond,"2,00","2,00",,"1,00","1,00",,"0,00","0,00",,"-1,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
jalappe,,pond,"1332,00","1332,00",,"0,00","0,00",,"0,00","0,00",,"-1332,00",,,,,,,,,,,,,,395,,,,,,,,,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kassie,,pond,"1845,00","1845,00",,"0,00","0,00",,"0,00","0,00",,"-1845,00",,,,,,,,,,,,,,1288,,,27,,,,,,,,,,,,,,,,,,93,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,
sene en senebladeren (purgeermiddel),,pond,"3792,00","3792,00",,"0,00","0,00",,"0,00","0,00",,"-3792,00",,,,,,,,,,,,,,1835,,,,,,,,,1614,,,40,,,25,,,,,,201,,,71,,,,,,,,,6,,,,,,,,,,,,,,,,,
"laurierzaad (""Backelaer"")",,pond,"3840,00","3840,00",,"0,00","0,00",,"0,00","0,00",,"-3840,00",,,,,,,,,,,,,,540,,,,,,100,,,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tamarin,,pond,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wijnsteenpoeder,,pond,"32025,00","32025,00",,"167,50","167,50",,"30835,00","20835,00",,"-31857,50",,2,"155,5",14779,,,,1865,,,,,,21445,,4811,1248,,,4030,,1245,2821,,,410,,,,,,12,,,6,,,102,,,,,,,5,,5,7,,50,,,,,,4,,,,,,25,,
ammoniakzout,,pond,"486,00","486,00",,"37,00","37,00",,"26,00","26,00",,"-449,00",,,,26,,,,,,,,,,304,,,,,,,,,,,,182,,,,,,,,,,,,,4,,,,,,33,,,,,,,,,,,,,,,,,,,
