1774,Franse termen,,I,Controletabel Invoer,5776,E,Controletabel Export,5776,T,Controletabel Transit,5776,E-I,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
goud en zilver (staven en in bulk),or et argent en barres et lingots,mark,"789,50","789,50",,"0,00","0,00",,"0,00","0,00",,"-789,50",,,,,49,,,,,,104,,,607,,,,,,,,,,,,,,,,,,,,,,,,"25,75",,,,,,,,,"3,75",,,,,,,,,,,,,,,,,
goud en zilver (gemunt),or et argent monnoyé,gulden,"2000,00","2000,00",,"0,00","0,00",,"0,00","0,00",,"-2000,00",,,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zilver (vaatwerk),vaiselle d'or et d'argent,ons,"5731,44","5731,44",,"1895,00","1895,00",,"2047,00","2047,00",,"-3836,44",,1960,360,,251,69,,76,38,,120,"279,5",102,148,,,29,,,67,,,"319,5",184,,"11,4375",,,,,,2082,,,"189,5",11,,93,135,,,,,,7,,48,470,25,75,,,"188,5","194,5",,"7,5",,,2,83,1760,64,64,160
goud en zilver (draad),,pond,"1208,92","1208,91",,"23,72","23,72",,"56,00","56,00",,"-1185,20",,489,"17,5","0,5",4,,,,,,"542,83",,,,,,,,,,,,,,,,,,,,,"98,778",,"45,5","0,333",,,"68,778","6,222",,,,10,,,,,,,"1,416",,,"3,778",,,,,,,,,,,
vals goud en zilver (draad),,pond,"2742,15","2742,15",,"52,67","52,67",,"879,00","879,00",,"-2689,48",,"2,167",11,37,,,,"2705,875",,842,,,,,,,,,,,,,,,,,,,,,,21,,,"9,444",31,,"0,667","10,667",,,,,,,,,,,"0,75",,,,,,"2,25",,,,,,,,
goud en zilver (blad- in boeken van 24 bladen),or et argent fin battus en livrets de 24 feuilles,aantal,"470,00","470,00",,"62,00","62,00",,"0,00","0,00",,"-408,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,35,62,,,,,,,,,,,,,,132,,,,,,288,,,,,,,,,,,
vals goud en zilver (blad- in boeken v. 24 bladen),or et argent faux en livrets,aantal,"3880,00","3880,00",,"241,00","241,00",,"0,00","0,00",,"-3639,00",,40,191,,,,,3840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,
kwikzilver,argent vif ou mercure,pond,"2078,00","2078,00",,"29,00","29,00",,"0,00","0,00",,"-2049,00",,,29,,,,,10,,,,,,1529,,,158,,,96,,,,,,57,,,,,,,,,59,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,
geweren (gemonteerd),fusils montés,aantal,"1919,00","1919,00",,"497,00","497,00",,"213,00","213,00",,"-1422,00",,15,119,1,1765,25,,8,1,,2,63,,3,,,,6,,2,94,,25,1,,6,,,,14,,5,,,3,9,,2,26,,,,,,2,,53,124,7,,,,1,,,,,6,14,3,4,15,10,195
geweren (niet gemonteerde lopen),,aantal,"1362,00","1362,00",,"30,00","30,00",,"29,00","29,00",,"-1332,00",,2,7,,1265,,,1,,,,,,,,,12,4,,,,,,,,6,3,,,,,,,,,,,1,,,,,,,,,37,4,1,1,,,,,,10,3,1,10,,,17,9,27
pistolen (gemonteerd),pistolets montés,paar,"1778,50","1778,50",,"333,00","333,00",,"278,00","278,00",,"-1445,50",,2,112,,1445,14,,12,,,,,,1,,,,7,,,80,,,8,,,25,,,2,,,,,,,,"1,5",36,,,,,,,,272,35,1,,,,,,,,5,12,20,,2,25,9,263
pistolen (niet gemonteerd lopen),,aantal,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degens (zilver),épées montées en or et argent et damasquinées,gulden,"6,00","6,00",,"0,00","0,00",,"0,00","0,00",,"-6,00",,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
degens (zilver),épées montées en or et argent et damasquinées,aantal,"189,00","189,00",,"0,00","0,00",,"0,00","0,00",,"-189,00",,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,
degens (gewone in staal),épées montées en acier,aantal,"298,00","298,00",,"29,00","29,00",,"1,00","1,00",,"-269,00",,,19,1,265,2,,,,,,,,,,,,,,,4,,,,,,,,,,,22,,,,,,10,,,,,,,,,,2,,,,,,,,,,,,2,,1,,
degens (gewone in staal),épées montées en acier,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jachtmessen en sabels,sabres et couteaux de chasse,aantal,"137,00","137,00",,"628,00","628,00",,"0,00","0,00",,"491,00",,1,57,,95,290,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,281,,,,,,,,,,,,,,,,
jachtmessen en sabels,sabres et couteaux de chasse,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floretten (gemonteerde en lemmeten),,aantal,"286,00","286,00",,"0,00","0,00",,"1181,00","1181,00",,"-286,00",,,,1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,,,,,,,,
lemmeten van degens en sabels,lames d'épées et de sabres,aantal,"2714,00","2714,00",,"64,00","64,00",,"8826,00","8826,00",,"-2650,00",,518,23,67,1401,,8723,,,,,,,,,,,,,,39,,,,,,,,,,,12,,,12,,,,,,,,,,,,760,1,36,,,,,,,,,,,,,11,1,
bajonetten,bajonettes,aantal,"2653,00","2653,00",,"1,00","1,00",,"0,00","0,00",,"-2652,00",,,,,2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,1,,,,,,,,,,,,,,1,,
geweersloten en -versiering,platinnes et garnitures des fusils,aantal,"48361,00","48361,00",,"38,00","38,00",,"0,00","0,00",,"-48323,00",,,2,,48214,,,,,,,,,,,,,,,,,,,,,,6,,,19,,,,,,,,,10,,,,,,,,147,1,,,,,,,,,,,,,,,,
laadstokken (ijzer),baguettes de fer pour fusils,aantal,"30,00","30,00",,"0,00","0,00",,"264,00","264,00",,"-30,00",,,,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,
breidels,mords de brides,aantal,"886,00","886,00",,"14,00","14,00",,"36,00","36,00",,"-872,00",,,11,,591,,,,,,,,,,,,,,,,,,213,,,,,,,,,,,,1,,,8,,,,,,,,,60,3,36,2,,,,,,,,,5,,,6,,
sporen en stijgbeugels,eporons et etriers,paar,"797,00","797,00",,"22,00","22,00",,"0,00","0,00",,"-775,00",,,9,,596,1,,18,,,,,,,,,,,,10,,,97,,,,,,,,,,,,,12,,,,,,,,,,,76,,,,,,,,,,,,,,,,,
zadels,sellet communes,aantal,"47,00","0,00",,"9,00","0,00",,"0,00","0,00",,"-38,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gordels en schouderriemen,ceintures et bandouillieres,aantal,"35,00","35,00",,"437,00","437,00",,"0,00","0,00",,"402,00",,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,,,,,3,,,,,,,,,2,,
geweld ijzer voor geweren,corroyes des fusils,stuk,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patroontassen en rugzakken,gibernes et aversacs,aantal,"0,00","0,00",,"2,00","2,00",,"0,00","0,00",,"2,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
scheden voor degens en sabels,soureaux d'épées,aantal,"1003,00","1003,00",,"7,00","7,00",,"0,00","0,00",,"-996,00",,229,7,,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
degengevest (staal),gardes d'épées d'acier,aantal,"205,00","205,00",,"20,00","20,00",,"1,00","1,00",,"-185,00",,,,,122,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,51,,1,,,,,,,32,,,,,,,,
degengevest (staal),gardes d'épées d'acier,gulden,"0,00","0,00",,"0,00","0,00",,"0,00","0,00",,"0,00",niet in 5776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niet vermelde wapens,armes non reprises,gulden,"260,00","260,00",,"20,00","20,00",,"0,00","0,00",,"-240,00",,,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,20,,,,
"lopen, ijzeren kogels en alle wapens / pond aange.",armes non reprises,pond,"0,00","0,00",,"0,00","0,00",,"70794,00","70794,00",,"0,00",,,,780,,,70014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buskruit,poudre à tirer,pond,"47662,50","47662,50",,"6827,00","6827,00",,"1878,00","1878,00",,"-40835,50",,,105,,9207,146,,7386,194,,,5273,,,,,8,,,614,8,,,,,96,,,3600,10,,,,,788,,,131,34,,,653,,88,117,,20412,35,265,,42,,1495,198,,2604,,1547,"125,5",12,41,1108,,25
vuurwerk,ouvrage d'artifice de toutes sortes,gulden,"6,00","6,00",,"0,00","0,00",,"40,00","40,00",,"-6,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,40,,,,,,,,,
salpeter (onbewerkt),salpetre crû ou non raffiné,pond,"70669,00","70669,00",,"88,00","88,00",,"1955,00","1955,00",,"-70581,00",,3,57,,,,,,,,,,,52770,,,234,,,14512,,,,,,,,,,,,,,,,,,,,,2000,,1525,,,310,1050,30,,,,,,,,,,,,,120,100,1,
salpeter (gezuiverd),salpetre raffiné,pond,"15466,00","15466,00",,"0,00","0,00",,"0,00","0,00",,"-15466,00",,57,,,,,,,,,,,,8474,,,3068,,,118,,,3670,,,68,,,5,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
