Product,Original French name,eenheid,pagina RG,Import 1788,Export 1788,Transit 1788,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Import,Sint-Niklaas Export,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
bokken en geiten,boucs et chevres,aantal,9,130,2348,71,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,6,2,1,21,68,12,69,2014,48,11,252,6,14,9,0
ezels en muildieren,anes et anesses,aantal,10,31,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,26,2,1,0,0,0,1,0
boter,beurre,pond,10,125394,58471,55721,40,0,206,11112,20,0,71315,2150,0,779,0,0,2466,0,0,2576,0,0,750,135,0,0,0,0,714,0,0,3520,0,0,190,280,180,350,30,0,120,0,0,1178,0,0,100,0,27087,2550,25,776,2908,599,389,10654,260,725,4112,0,857,5052,1542,17308,4908,53430,8193
boter (niet eetbare ierse),beurre d'Irlande non comestible,pond,10,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,2200,0,0,0,0,0,0,0,0,0,0,0,150,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bier (engels, luiks...)","bierre de liège, d'anglettere etc",aam,10,"129,45",5,0,44,2,0,42,2,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,"14,5",0,0,"21,75",0,0,"0,2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bier (hoegaards),bierre d'hougarde,aam,10,"25862,25","1809,2",0,0,0,0,"25842,25","1726,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,26,0,2,"56,75",0,0,0,0,0,0,0,0,0,0,0,"0,2",0
bier (gewoon),bierre commune du pays,aam,10,"1792,5","13714,92",263,0,"933,5","3,5",11,"7605,25",0,32,"140,5",0,0,1786,0,0,"99,25",0,"2,5",1044,0,0,"389,25",0,"3,5","51,5",0,3,"229,25",0,"4,75",0,0,"104,5",11,0,60,"44,75",0,"188,25","80,5",0,7,5,0,0,0,0,21,"188,5",1,"96,25","227,5",42,"133,25",213,178,"767,75","291,5","5,5","245,75",176,"1,5",112,"198,67","31,5"
hout voor fijne bewerking en decoratie,,pond,10,267527,16186,3065,20422,0,2650,0,0,0,0,0,0,0,26,0,58339,0,0,300,0,0,102634,907,0,72048,3,0,41416,0,0,905,0,0,1000,200,0,0,0,0,463,700,0,0,14200,0,0,0,50,0,0,0,0,150,0,0,0,0,0,0,365,0,0,0,0,0,0
schoorbalken in den,sommiers ou corps d'arbre de sapin,aantal,10,207,25,111,0,0,0,0,2,0,0,0,0,0,0,0,197,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22,111
"schoorbalken in eik, versierd",sommiers de chêne faconnés,voetribbe,11,7417,68704,48,0,5950,0,0,0,0,0,0,0,0,0,0,0,0,0,383,750,0,0,150,0,0,810,0,5865,28981,0,595,7450,0,0,5266,0,400,3846,0,0,9206,0,0,1650,0,0,1600,0,0,0,0,0,2350,0,50,621,48,124,74,0,0,0,0,0,0,0
