Product,Original French name,eenheid,pagina RG,Import 1788,Export 1788,Transit 1788,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Sint-Niklaas Import,Sint-Niklaas Export,Sint-Niklaas Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Herve Invoer,Herve Uitvoer,Herve Transit
wollen dekens,couvertes de laine,aantal,27,27244,252,4249,428,22,243,12869,12,0,234,11,0,14,16,0,23,0,0,31,2,0,4541,7,0,821,16,0,187,6,0,0,1,0,546,8,0,938,2,0,659,17,0,87,13,0,19,4,289,49,20,10,355,52,4,215,3,3,765,37,64,4163,1,3634,300,2,2
dekens (in hennepwerk of van mindere kwaliteit),couvertes d'etouppe,aantal,27,346,11681,24,0,1984,0,1,951,0,0,946,0,0,1373,0,0,0,0,0,961,0,0,180,0,0,20,0,0,0,0,0,0,0,128,0,0,58,0,0,37,4673,0,0,467,0,0,0,24,0,0,0,0,0,0,0,0,0,27,126,0,0,0,0,95,0,0
paardehaar,crin de cheval,pond,28,"36693,5",4213,613,285,1022,0,583,134,0,60,0,0,2747,78,0,"12557,5",0,0,210,0,0,2188,125,0,5334,69,0,2864,10,0,24,70,0,200,435,0,277,187,0,4098,112,0,1108,1600,0,270,0,150,165,15,0,89,44,8,88,12,0,2483,218,455,0,0,0,1063,82,0
paardehaar (bewerkt),crin de cheval ouvré,gulden,28,238,18,12,0,15,12,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,18,0,0,5,0,0,0,0,0,0,0,0,154,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
kristal (onbewerkt),cristal cru,pond,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kristal (bewerkt),cristal ouvré,gulden,28,400,4,0,0,0,0,7,0,0,0,0,0,90,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,289,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leder (onbewerkt en behaard),cuirs crûs et à poil,aantal,28,10740,234,3385,0,0,111,0,179,0,0,20,0,0,0,0,0,0,0,37,0,0,2024,3,0,494,26,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,15,0,811,15,5,460,109,0,1,332,0,5,3955,0,1584,3646,0,373,111,1,30
leder (gedroogd en behaard),cuirs secs à poil,aantal,28,81916,81882,378,750,75264,99,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,2363,0,0,2700,0,0,75966,0,279,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,251,0,5,5581,0,0,0,0,112,0,0,0,640,0
leder (gezouten en behaard),cuirs salés à poil,aantal,28,2366,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,0,0,405,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leder (gelooid voor bovenschoenen),cuirs tannés pour empeignes,aantal,28,"1123,33","569,25",38,0,0,0,14,1,0,"4,33",0,0,0,0,0,0,0,0,4,"37,5",0,0,16,0,12,17,0,"1,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,38,0,"403,75",0,0,0,0,0,0,0,0,0,0,"1087,5",0,0
leder (gelooid voor zolen),cuirs tannés pour semelles,aantal,29,"1577,5",6272,"26,5",0,0,0,"68,5","0,5",0,"76,5",0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,17,0,100,0,0,0,5320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,"3,5",0,"870,5",0,0,0,0,0,0,0,0,1,23,"1320,5",0,0
leder (gelooid voor bovenschoenen en zolen),,pond,29,"65987,5",763537,2918337,817,43385,1764,"333,5",13575,245,44,7122,0,0,13745,230,100,0,0,27,631,0,556,13775,0,76,101,0,7,775,0,0,6180,0,18,11695,0,"52,5",31612,1777,8,7571,0,0,"1353,5",0,0,2300,15254,103,880,1533,144,602,2,6257,71954,5394,2289,459398,10232,"11362,5","66538,5",2881840,43793,10344,66
marokijnleder,cuirs d'Espagne dit Maroquin,pond,29,"5405,25",529,1783,"941,5",42,87,"1390,75",0,0,1405,0,0,"106,5",38,0,25,0,0,10,12,0,"46,5",235,0,"598,5",0,0,"152,25",76,0,3,50,0,0,0,0,0,0,0,13,0,0,"1,5",0,0,0,0,1696,0,0,0,"32,75",70,0,0,0,0,666,0,0,0,6,0,13,0,0
juchtleer (russisch),cuirs de Roussi,pond,29,1558,0,0,0,0,0,0,0,0,0,0,0,840,0,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verguld leder,cuirs dorés,gulden,29,5,3263,0,0,3238,0,0,0,0,0,25,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
koper (ruw in bulk of blokken),cuivre crû en bloc,pond,29,304528,272,314742,11250,0,80874,0,0,0,87,0,0,0,0,0,287702,0,0,0,0,0,0,45,0,0,0,0,5000,0,0,350,0,0,0,0,0,0,227,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,96,0,0,30,0,233868,0,0,0
koper (rood in platen),cuivre rouge en plattes,pond,29,"121742,5",139065,9323,119976,0,9323,"67,5",0,0,0,0,0,0,0,0,465,0,0,0,0,0,0,24,0,1124,205,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,138836,0,89,0,0,0,0,0,0,0,0,6,0,0
"koper (rood, bewerk)",cuivre rouge ouvré,pond,29,12095,4028,"2,5",109,104,0,141,0,0,319,0,0,"142,5",738,0,10210,0,0,0,0,0,77,248,0,21,0,0,"883,5",350,0,4,0,0,0,2580,0,0,0,0,51,0,0,0,0,0,0,0,0,5,8,0,119,0,"2,5",13,0,0,0,0,0,0,0,0,0,0,0
"koper (geel, bewerkt)",cuivre jaune ouvré,pond,30,"99800,5","34802,25","658790,5",1976,12672,72,6429,15,28,8995,163,25,49715,270,0,1266,0,0,269,869,0,299,1302,0,993,2548,0,2210,"388,5",0,0,4928,0,456,890,0,436,241,0,181,820,0,132,2608,0,21,0,874,149,171,160,988,"4151,52","55,5",1058,672,287,"7404,5","972,5","838,5",14206,"209,5",656411,2617,"911,25","39,5"
koperdraad (geel),fil de laiton jaune,pond,30,"12264,25",189,815,0,0,735,"3384,25",4,74,5940,0,0,0,0,0,9,0,0,0,0,0,75,0,0,0,0,0,2816,0,0,0,0,0,6,0,0,0,0,0,0,135,0,3,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,50,0,0,0,0,20,0,6
koperschroot,mitrailles de cuivre,pond,30,38647,781,30735,0,0,0,0,0,0,265,0,0,1615,0,0,3972,0,0,891,0,0,1797,0,0,17337,0,0,5841,0,0,2530,0,0,0,0,0,84,0,0,40,0,0,31,0,0,0,0,0,583,0,0,3156,0,30700,468,0,8,7,0,0,20,0,0,10,781,27
koperwerk (verguld en verzilverd),ouvrages de cuivre dorés et argentés,gulden,30,594,6,257,0,0,0,0,0,0,0,0,0,157,0,0,5,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,138,0,0,154,0,0,0,0,0,0,6,0,0,0,25,10,0,0,10,0,0,0,0,232,0,0,0,0,0,0,0,0,0
kant (zijde- en blonde),dentelles de soye et blondes,gulden,30,12344,5598,17245,2733,4277,14644,588,11,0,148,0,0,606,135,0,0,0,0,0,0,0,3,763,0,0,214,0,0,6,0,0,0,0,357,0,0,428,0,684,2160,0,0,4521,75,1712,0,0,0,0,0,0,0,0,0,2,0,0,23,0,0,695,0,205,80,117,0
kant (linnen),dentelle de fil,gulden,30,15498,17108,923,0,36,0,72,433,0,44,556,0,0,0,2,3227,6,0,168,0,0,3703,132,0,0,5653,0,7,236,0,0,0,0,0,150,0,0,400,385,1307,30,300,100,6755,0,0,200,27,0,0,0,10,66,0,0,1057,0,6204,1398,12,310,0,197,346,0,0
laken (wit),draps blancs,stuk,30,"16,25",0,0,0,0,0,0,0,0,16,0,0,0,0,0,"0,25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laken (de castor),draps de castor,el,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laken (de pié),draps de Pie,stuk,31,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laken (geverfd (de douzaines)),draps teints de douzaine,stuk,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"laken (geverfd, gemengd)",draps teints et mellés,stuk,31,"1021,25","23738,25","1502,5",0,"217,25","1283,5",6,7,155,7,0,0,295,147,0,0,0,0,0,0,0,100,"138,75",0,440,0,0,167,0,8,0,0,0,0,"2,5",0,0,0,0,5,1,0,0,0,0,0,0,34,0,8,0,0,2,0,0,2,0,0,44,0,0,42,0,"1,25","23126,75",22
"laken (geverfd, gemengd)",draps teints et mellés,el,31,"60564,75","17617,25","12917,25","8530,5",6,33,"2504,75",210,0,"7054,75","394,5",0,925,"5,25",0,"653,75",7,0,"131,75","75,5",0,117,0,0,3,"95,5",0,"1698,25",28,0,140,0,0,"1431,5",329,0,"80,75",179,0,9454,"4048,5",0,"1037,25",837,"2,5",0,0,495,0,"109,75",90,1488,1326,"16,25",3875,"287,75","2682,5","2631,25","5230,5",425,"18100,25","799,5","4313,5",708,"3649,5","4859,5"
ratijn,ratinne,stuk,31,26,4,40,0,0,40,0,0,0,0,0,0,21,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratijn,ratinne,el,31,8737,51,300,0,0,0,0,0,0,2,0,0,2342,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,129,0,0,330,32,0,0,0,0,1263,0,0,0,0,0,0,0,0,0,0,300,69,0,0,0,0,0,4548,0,0,0,0,0,54,6,0
duffel (geverfd),duffel teint,el,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karsaai (wit),carisaye blanche,el,31,102867,0,5659,588,0,1512,21,0,0,1412,0,0,21850,0,714,193,0,0,63,0,0,117,0,0,47686,0,0,23023,0,0,40,0,0,0,0,0,0,0,0,7874,0,0,0,0,0,0,0,3433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karsaai (geverfd),carisaye teinte,el,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baai (wit),baye blanche,el,32,16972,21,2743,1414,0,0,12,0,0,0,0,0,14328,21,2743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baai (geverfd),baye teinte,el,32,5188,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5188,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,37,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
frisades en berg-op-zoom,frisade et bergopzoom,el,32,60368,0,0,84,0,0,0,0,0,0,0,0,40586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laken (zomen en snippers),lisières et rognures de drap,gulden,32,1572,6,0,0,6,0,0,0,0,183,0,0,0,0,0,800,0,0,0,0,0,464,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,0
drogerij (gemengd),drogues mellées,gulden,32,237458,11440,31657,18354,4455,26169,3734,264,0,490,6,0,41986,3917,4530,64254,0,0,315,115,0,22812,1744,0,28441,440,0,43429,153,0,2236,16,0,316,92,0,2399,0,0,1563,0,0,2102,11,19,2,0,65,110,80,100,1155,45,157,1224,8,141,639,0,129,1072,76,323,825,18,24
drogerij (gemengd),drogues mellées,pond,32,"14964,5",2471,"53044,25",0,272,"23313,25",144,0,0,78,0,0,1411,0,11252,7543,0,16393,38,0,0,705,0,0,600,0,0,117,0,15,12,0,0,7,4,0,19,0,12,420,21,0,"698,75",19,0,0,0,1163,5,0,50,"1379,75",890,82,127,0,0,0,15,615,1029,350,149,631,900,0
balsem en alle soorten elixir,beaume et elixir,gulden,32,384,18,26,0,0,24,52,0,0,188,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,26,0,0,13,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0
siroop van vrouwehaar (geneeskrachtig kruid),sirop de capilaire et autre composées,gulden,33,320,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,291,0,0,20,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hertehoorn,cornes de cerf,pond,33,5038,350,0,0,0,0,0,0,0,0,0,0,0,0,0,2942,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,1609,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spaanse vlieg,cantharides ou mouches d'Espagne,pond,33,"66,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,"16,5",0,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
honingdauw,manne,pond,33,606,27,"7115,5",0,0,7108,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,5",0,0,22,0,0,385,0,0,"78,5",0,0,0,0,0,16,0,0,0,27,"7,5",0,0,0,0,0,0,0,0,0,0,0,0
rabarber,rhubarbe,pond,33,"395,5",8,937,0,8,937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"259,5",0,0,1,0,0,0,0,0,4,0,0,4,0,0,0,0,0,26,0,0,41,0,0,0,0,0,0,0,0,52,0,0,0,0,0,8,0,0,0,0,0,0,0,0
zoethout en sap van zoethout,bois et jus de reglisse,pond,33,10702,1337,27643,1069,462,26360,0,0,0,0,12,0,0,0,0,78,0,0,0,12,0,0,2,0,0,0,0,40,0,0,13,0,0,4997,0,0,1035,0,0,1210,0,0,0,6,0,0,0,1088,10,683,0,1,130,0,"397,5",0,0,107,15,150,"47,5",15,45,1697,0,0
sene en senebladeren (purgeermiddel),senné et feuilles de senné,pond,33,568,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,261,0,0,80,0,0,212,0,0,0,0,0,12,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0
"laurierzaad (""Backelaer"")",graines de laurier dites bekelaers,pond,33,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wijnsteenpoeder,crème de tartre,pond,34,"70899,5",692,"8109,5",375,0,8105,249,16,0,"3115,5",0,0,0,0,0,7852,0,0,230,0,0,10039,27,0,27825,0,0,20345,105,0,0,0,0,232,0,0,0,0,0,287,0,0,0,25,0,0,0,0,0,46,0,13,22,"4,5",96,0,0,25,0,0,50,0,0,166,451,0
ammoniakzout,sel armoniac,pond,34,"1071,5",4,857,0,0,857,0,0,0,0,0,0,0,0,0,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"1,5",0,0,0,0,0
zout (vr. geneesk. doeleind.) & magnesiumsulfaat,sel de seignette policreste et globere,pond,34,0,0,212,0,0,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwavelzuur (vitriool),vitriol,pond,34,3364,0,1345,0,0,645,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,700,200,0,0,2350,0,0
antimonium,antimoine,pond,34,"779,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,3,0,0,64,0,0,185,0,0,"510,5",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenicum,arsenic  ,pond,34,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0,0,0,0,0
terpentijnolie,huile de therebentinne,pond,34,"1617,5",0,1388,0,0,1388,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,27,0,0,805,0,0,0,0,0,640,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,"0,5",0,0,13,0,0,0,0,0
vitrioololie,huile de vitriol,pond,34,19370,2353,21623,25,403,12083,0,0,0,0,12,0,0,0,0,3882,0,0,0,0,0,5785,0,0,8733,0,0,587,0,9540,10,0,0,27,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1784,0,0,0,0,0,0,0,270,154,0
koperrood (stof),coperrose,pond,35,6356,1307,1159,20,207,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6250,1100,0,46,0,0,0,0,0,30,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
aloë,aloès,pond,35,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,49,0,0,96,0,0,72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
borax,borax,pond,35,"1442,5",1,64,0,0,64,0,0,0,0,0,0,300,0,0,760,0,0,0,0,0,0,1,0,"27,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0
sterk water,eau forte,gulden,35,1874,2372,323,0,554,70,30,12,0,0,0,0,0,0,0,357,0,0,0,0,0,475,0,0,90,0,0,0,0,0,104,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,3,0,0,0,8,0,0,39,1404,0,0,0,250,0,0,0,651,402,0
mineraalwater,eau minerale,gulden,35,7621,1526,16027,588,65,9959,1549,210,0,733,0,0,5,0,0,1736,0,0,0,0,0,190,155,0,12,15,0,0,50,0,8,0,0,16,0,0,5,0,0,36,15,0,0,0,0,12,0,25,0,0,0,246,52,0,180,565,102,523,26,4142,1782,373,1799,0,0,0
wondewater,eau medicinale,pond,35,0,0,5042,0,0,5042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reukwater en kwintessens,eau de senteur et quintessence,gulden,35,3913,206,4693,291,0,429,277,0,0,1127,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,193,114,0,0,0,58,0,0,985,10,70,156,0,0,248,0,17,0,0,43,0,0,0,171,0,13,33,1,1545,163,0,653,266,2,1747,138,0,0
schildpadschilden,ecailles tortues,pond,35,"202,5",0,0,0,0,0,0,0,0,0,0,0,110,0,0,80,0,0,0,0,0,12,0,0,"0,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eikeschors,ecorces de chêne,kar,36,"317,5","3179,63",113,0,0,0,"49,13","1,25",0,"1,13",0,0,0,0,0,"3,75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,75",0,0,"3,25",0,0,0,0,0,"84,5","2030,5",0,24,"32,75",0,"142,75","1092,25",112,"7,25","227,38",1
eikeschors,ecorces de chêne moulue,viertel,36,"7687,5","10485,25",10595,0,0,0,0,"3,5",0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2089,0,0,114,0,"1,5","1184,75",0,0,39,0,319,16,1283,93,0,141,7249,7039,9171,0,0,0,0,0,0,0,0,0,0,0,0
lindeschors,ecorces de tilleul,pond,36,8800,0,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,0,0,1500,0,0,1700,0,1400,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amaril,emeril,pond,36,903,40,5537,12,40,5537,0,0,0,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,118,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leder (geverfd voor bovenschoenen),empeignes peintes pour souliers,dozijn,36,0,623,0,0,"0,5",0,0,0,0,0,0,0,0,"622,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wierook,encens,pond,36,"3816,75",95,76,0,0,64,"25,5","30,5",0,18,0,0,0,0,0,530,0,0,0,0,0,1330,3,0,0,0,0,1090,0,0,20,0,0,395,0,0,0,0,0,25,0,0,15,8,0,0,0,0,2,0,0,"183,25","9,5",12,28,0,0,93,0,0,4,0,0,58,44,0
inkt (chinese),encre de la Chine,gulden,36,73,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
inkt (drukkers-),encre pour imprimeur,gulden,36,18,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kruiden (gemengd),epiceries mellées,pond,37,"7964,25","3403,63","11676,75",1622,1022,3895,0,290,0,0,29,0,0,1866,118,47,0,0,135,0,0,151,0,0,0,0,0,0,0,0,0,"3,5",0,0,25,0,0,0,0,0,0,0,0,"22,13",0,0,0,142,0,0,0,"85,75",16,"2,25",1467,0,"105,5","3212,5",34,7053,1137,90,361,107,6,0
vanille,vanille,pond,37,"99,5",0,10,0,0,10,0,0,0,0,0,0,"99,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kaneel,canelle,pond,37,"12183,46","263,25","13933,5","1900,25","121,25",11624,"46,5",5,0,"73,5",21,0,"2109,75",0,2309,"3032,38",0,0,"264,75",0,0,348,1,0,1853,"18,5",0,"1878,5",0,0,"3,75",0,0,"10,5",2,0,0,0,0,"2,25",0,0,11,0,0,"0,5",0,0,3,37,0,"123,33","53,5","0,5",2,0,0,0,0,0,"0,5",0,0,520,4,0
kruidnagel,cloux de giroffle,pond,37,"8271,75","76,5","1901,5",265,"11,5",629,"30,5",26,0,3,"0,75",0,0,0,"1266,5","6354,5",0,0,63,0,0,1021,0,0,427,"8,25",0,42,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,"59,25",10,0,0,0,0,0,0,0,0,0,0,"4,25",0,6
gember,gingembre,pond,37,"3665,5",51,12041,0,12,12041,"46,5",0,0,0,0,0,0,0,0,335,0,0,233,0,0,26,0,0,320,0,0,2511,0,0,70,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,39,0,6,0,0,0,0,0,0,0,0,79,0,0
