Product,Original French name,Dutch translation,unit of measure,Import 1759,Export 1759,Import 1760,Export 1760,Import 1761,Export 1761,Transit 1761,Import 1762,Export 1762,Transit 1762,Import 1763,Export 1763,Transit 1763,Import 1764,Export 1764,Transit 1764,Import 1765,Export 1765,Transit 1765,Import 1766,Export 1766,Transit 1766,Import 1767,Export 1767,Transit 1767,Import 1768,Export 1768,Transit 1768,Import 1769,Export 1769,Transit 1769,Import 1770,Export 1770,Transit 1770,Import 1771,Export 1771,Transit 1771,Import 1772,Export 1772,Transit 1772,Import 1773,Export 1773,Transit 1773,Import 1774,Export 1774,Transit 1774,Import 1775,Export 1775,Transit 1775,Import 1776,Export 1776,Transit 1776,Import 1777,Export 1777,Transit 1777,Import 1778,Export 1778,Transit 1778,Import 1779,Export 1779,Transit 1779,Import 1780,Export 1780,Transit 1780,Import 1781,Export 1781,Transit 1781,Import 1782,Export 1782,Transit 1782,Import 1783,Export 1783,Transit 1783,Import 1784,Export 1784,Transit 1784,Import 1785,Export 1785,Transit 1785,Import 1786,Export 1786,Transit 1786,Import 1787,Export 1787,Transit 1787,Import 1788,Export 1788,Transit 1788,Import 1789,Export 1789,Transit 1789,Import 1790,Export 1790,Transit 1790,Import 1791,Export 1791,Transit 1791
steel,acier,staal,pounds,125786,6923,146930,7472,"135008,5",16651,"57842,5","152205,75",5809,57899,134829,3513,57104,146606,4515,41778,165451,"10628,5","44526,5",189374,8426,"71342,5","201062,25",9394,29212,205237,"9071,5",79503,191723,"22475,75",76602,178523,"15853,5",42691,174314,"13739,5",49378,"199049,13",37921,18455,"190470,5",50906,40953,209420,47165,35081,191402,61183,60851,"268632,5","39032,5",39288,216330,12268,66971,259197,11068,95728,"232176,5",10430,100545,"207113,5","4061,5",119170,195940,7275,287264,198152,8483,223228,192808,7056,"124019,5",229771,3857,"142991,5",220332,4667,145269,220742,3825,135831,270553,29759,100609,"246440,5",17568,68734,275293,24534,85907,"207371,25",10200,73095,208957,1657,107903
agaric,agaric,oragie/agarik,pounds,...,...,...,...,10,12,0,...,...,...,60,0,0,8,0,0,2,0,0,"896,25",12,0,"257,5",0,0,150,0,0,12,0,0,3,0,0,0,0,0,0,0,0,0,0,1287,0,0,0,0,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
precious stones (agate),agates fins,edelstenen (agaat),pounds,...,...,...,...,1,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
lambs and goat lambs,agneaux et cabrits,lammeren en geitelammeren,pieces,2697,5877,2822,4395,1950,2531,2128,1637,3146,840,1491,2523,174,2113,4360,2435,1785,5351,1594,2916,4916,2096,3057,3457,1855,3088,4401,1692,3378,4292,1599,2189,3866,2021,2412,5408,1283,3621,5207,1508,4215,5398,1964,2516,3774,1388,1774,3465,119,3192,3417,582,3328,3235,1037,2707,4314,1327,2710,3990,1948,2774,2726,1261,2140,4072,393,1454,2318,401,1349,3211,69,1814,3347,502,801,2264,87,3980,4440,1364,4310,6050,1784,2910,4357,688,2147,3654,603,2008,6554,1028,2056,5789,677
agnelins et crottelins,agnelines et crottelins,agnelins et crottelins,pounds,...,...,...,...,"605,25",0,0,330,372,2730,370,0,0,516,0,0,17805,49,4715,23009,2437,2310,2170,6,970,1843,0,1140,4042,20,900,2099,0,0,1532,2116,380,5623,10,340,3864,0,400,4310,0,0,6217,0,600,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
eagles,aigles,arenden,pieces,...,...,...,...,...,...,...,...,...,...,...,...,...,0,2,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
eagles,aigles,arenden,guilders,...,...,...,...,0,14,0,...,...,...,...,...,...,0,50,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
needles,aiguilles,naalden,pounds,"4584,75","671,75","5728,19","195,75",4647,"166,5","92190,5","5868,25",1032,"87661,5","5484,88","2140,5","85741,69","4570,19",1004,"92081,5","5757,88","604,88","90901,5","8796,38","743,25","99918,5","6045,92","795,25",90491,"6770,75","310,5","94761,5",6374,566,80185,"6897,63",529,89018,"6441,28","647,78",124107,7962,"962,38","102561,38","7718,56","1128,75",100726,"6886,25",638,97346,"7568,25","925,5","106407,5","7625,75",564,"108985,75","8335,63","250,5","108248,63",6503,"293,5","112861,5","7952,69","452,5","96010,5","8501,71","606,92",93070,7258,5066,106950,7441,285,117186,"7298,13","252,75","97290,5","7987,25","405,5","88760,25",7790,"413,33",94698,9025,"209,5",81522,"12814,25","3864,25","85946,63","15252,5","4448,25","86705,75","14860,25","6157,75","75154,5","9553,75","872,5","80595,5",10657,"311,5","80694,25"
needles,aiguilles,naalden,"""caisses""",...,...,...,...,0,0,6,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
wood for flails,ailes de fleaux,hout voor vlegels,pieces,558,205,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
garlic,ailles,look,bulb,12450,50,16050,0,10200,4000,7783,4700,1750,3490,19800,0,1900,3060,0,1556,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
alatia,alatia,alatia,pounds,694,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
red chalk,almagro ou crayon rouge,kleurstoffen (rood krijt),pounds,1482,162,"3030,5","1010,5",95,0,0,166,0,265,2280,0,"1411,5","25245,5",600,2779,"698,5",0,900,983,4,0,1232,0,3,1640,3000,0,"1372,5",0,0,1348,150,0,2938,60,0,"3138,5",64,31,859,5100,2750,4077,203,1003,10889,1112,2160,8134,420,50,1919,34,0,936,457,2310,20802,50,6611,778,1520,24181,3968,740,32400,10780,160,12892,"2606,5",1100,23220,545,50,0,1452,570,0,1814,20,0,1695,189,0,5409,400,281,764,2900,"4126,5","2164,25",1150,200,1705,1280,27
red chalk,almagro ou crayon rouge,kleurstoffen (rood krijt),guilders,0,7,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
decorated almanacs,almanacs enjolivés,versierde almanakken,guilders,0,20,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
aloe,aloès,aloë,pounds,0,40,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,284,0,0,"394,5",0,0,100,88,0,657,0,0,107,0,0,382,0,0,"17,5",0,0,"10,5",0,0,"179,5",0,0,20,0,0,"112,5",0,0,14,0,0,62,0,0,0,0,0,0,0,0,"100,5",0,0,77,0,0,95,0,0,87,0,0,98,0,0,225,0,0,141,0,40,21,0,0,323,0,0
allis shad,alose dite elft,elft,pieces,26,65,0,5,1,8,0,...,...,...,40,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
smoked allis shad,alose fumée,elft (gerookt),pounds,36,0,...,...,114,0,0,340,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
larks,alouettes,leeuweriken,pieces,2840,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
matches,alumettes,lucifers,pounds,409,412,2077,169,6,3009,1619,568,1442,0,3911,1447,0,"802,5",2185,0,1010,2636,0,1049,3464,0,1100,1881,0,490,2070,0,"5255,63",2380,0,3918,1708,0,2421,1050,200,6171,743,280,4857,188,300,2956,475,200,3609,198,100,4758,917,77,6127,198,0,3891,128,0,5880,45,0,4841,116,0,5672,605,0,6830,1300,0,4439,25002,0,3146,988,0,3254,1653,0,4063,2527,0,"6289,5","2397,5",0,5141,1569,0,4485,947,0,"3062,5",668,0,3152,134,0
alum,alun,aluin,pounds,250002,120607,254853,162874,207337,70027,653341,129259,77801,607040,202568,"98252,5",708264,"231682,5",90753,491353,"373772,5","183652,5",590332,345583,287648,478190,366241,157449,425708,440859,209843,431308,452875,"269318,5",272171,"379656,5",220855,"241712,5","404222,5",300797,230006,154308,"123093,5",118190,"437503,5","395285,5",1042993,"500833,5",331844,313450,431536,233508,143431,"422995,5",333770,228220,"338743,25",283255,187319,"357557,5",288424,328985,"261438,5",155336,354219,"388819,5","296175,5",335992,319180,276143,431483,244368,203481,309180,"293509,5",330574,313650,429238,336732,255175,298430,264433,197735,398101,324366,162759,571112,473585,72933,563593,461604,50321,386824,336444,36030,322785,"265533,5",40120,403161,382686,20644
tinder,amadou,tondel,pounds,133,0,855,145,1038,314,2202,1436,260,865,"1606,5",750,142,545,265,280,1312,557,625,"1139,5",200,1095,"6963,75",437,1556,497,146,1364,172,210,25,535,636,142,"398,5",578,205,"217,5",524,82,765,407,170,113,148,60,309,160,0,423,100,36,142,129,140,118,36,245,82,40,0,"495,5",194,270,557,"398,17",75,1029,11280,16,1540,567,28,2794,1273,342,"2038,5",467,0,1451,146,95,1351,457,83,197,454,445,406,1579,130,"407,13",80,22,"1041,25",250,0
almonds in pieces,amandes cassés,amandelen (stukjes),pounds,...,...,737,6,...,...,...,667,493,200,431,25,1560,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
short almonds,amandes courtes,amandelen (korte),pounds,67806,2564,"71993,5",65,32413,0,5260,78937,414,543,89095,1954,7511,96260,742,756,75216,2056,2388,100176,826,3992,111157,1358,"5991,5",76752,652,3808,51588,1400,3345,"68435,5",0,3287,42691,0,1732,128903,781,1528,91179,3048,3739,78050,29,5376,82411,8,5401,54746,0,2360,"91864,5",226,9575,68317,0,11171,64085,50,5144,75658,0,4832,66140,250,2030,53675,2242,14368,38744,740,300,99638,690,1280,55533,75,650,113075,299,1110,106528,2169,1414,115770,720,778,47079,849,0,130606,439,1044,86048,284,0
almonds (in shells),amandes en coques,amandelen (in de schelp),pounds,45209,1940,67554,6259,"67210,5","4554,5",19579,69993,"4739,5",16270,"42617,25",1260,"12375,5","56500,5","683,5",6234,"34005,25",546,"5694,75",37917,471,3827,83473,478,8817,94153,4308,31416,"23717,5",15283,1621,56627,2712,593,24741,3766,4082,17985,3235,3663,23774,"6691,5",4735,46391,1812,5376,"68954,5","6480,5",16204,37238,3250,7314,"63059,5",11103,8931,"80283,5",4556,27078,"99373,5",11827,77672,"96481,5",5167,108289,164423,24856,49352,169002,5750,86051,115904,13247,30138,87018,6904,20139,81789,2540,3096,26842,6791,3960,32592,1738,"12833,5",148973,4753,52046,102784,12238,17284,"41458,5",1485,15264,212442,"3232,5",3556
long almonds,amandes longues,amandelen (lange),pounds,1113,125,567,0,707,71,0,275,0,0,405,0,0,310,0,0,1598,57,0,3159,378,0,3352,90,1228,1567,4437,1270,377,60,0,"2647,5",26,1468,225,0,190,2074,67,100,18665,0,0,9169,6,0,10605,0,50,2890,0,0,"2271,25",0,1435,1912,0,316,145,25,625,1950,12,0,5373,0,0,5755,0,0,812,0,0,3816,0,0,5,0,0,2561,0,0,155,0,0,11393,100,0,1247,0,638,2979,0,200,4932,223,0
amaril,amaril,aarde (amaril),pounds,...,...,...,...,...,...,...,...,...,...,5701,0,250,...,...,...,1030,100,750,1151,0,350,626,0,250,408,200,1575,1385,0,227,590,0,806,3104,0,1066,1433,70,1050,42,2,0,490,0,0,3115,0,350,950,0,400,386,0,0,425,0,0,1133,0,1525,0,0,1000,1490,1500,0,0,145,550,2070,300,0,1270,400,800,1200,900,0,1292,0,0,461,4,0,6032,4700,0,335,0,2227,200,250,0,0,3700,0
amber,ambre brut,amber,pounds,263,0,158,0,40,0,0,100,0,0,0,"0,5",0,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,…,…,…,245,0,0,"18,5",0,0,43,0,0,236,0,0,173,0,0,0,0,0,0,0,0,14,0,0,13,0,0,25,0,0,128,0,15,0,0,0,0,0,0,75,0,0,0,0,0,0,70,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
starch,amidon et poudre à poudrer,stijfsel,pounds,"53587,5","121777,5","45389,5","115314,5","52804,75",118443,"312855,5","66310,5",87517,"220318,5","97248,75","103064,5",90540,"90233,75","118119,5","123620,5","96887,25",145101,"91557,5",112598,153504,82618,"92658,25","160060,5",157097,"72492,5","113593,5","19899,5","63424,75","151339,5",12168,"43350,75","168395,5",18516,"28387,5",236449,7042,"31800,75",264877,"15376,5","22860,5",419337,4797,"23218,75",560805,4034,"33544,75","378588,5","7573,5","40959,75",528696,"4008,5","33278,75",406153,8256,"33681,5",385419,10561,26829,340522,2751,22226,364094,2529,54301,379373,1954,22790,1036733,5449,"18886,5",577726,"6130,5",20896,371941,"5414,5","27524,75",461050,2991,21617,664571,4992,"15409,25",391291,14790,"25667,25","266486,5","9237,5","30839,75","215154,5","18267,25","46223,75",378731,20884,"48911,5",574259,122810
amomum,amomum,amomum,pounds,...,...,...,...,0,0,25,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
pineapple,ananas,ananas,pieces,...,...,...,...,39,7,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,234,12,0,…,…,…,13,54,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
pineapple,ananas,ananas,guilders,...,...,...,...,95,20,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,…,…,…,…,…,…,…,…,…,47,36,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
anchovy,anchoix,ansjovis,tons,"1239,54","377,25",3235,618,"2351,73","627,13","109,5","1889,54","484,75","62,25","1352,9","351,67",76,"1347,17","282,17","28,5","1180,71","374,17",46,"521,83","116,75",1,"1879,42","115,33",4,"2006,38","235,33",0,"2895,83","323,58","0,17","2111,19","440,75",5,"1980,29","189,42",1,1215,"124,08",2,"808,15","69,31",0,"1495,38","125,83",8,"2197,94",249,"4,08","4082,83","468,67","19,5","5437,15","798,75","7,25","2854,25","554,76","3,98","8761,04","1329,67","168,06","2408,96","647,58",293,"3258,25","714,54",146,2135,740,41,"2740,45","680,38","54,32","4690,48","748,88","28,1","3381,58","617,87",7,"648,88","425,43",3,"571,17","183,48","32,25","874,87","175,15",6,"2006,25","362,08","12,75","1632,75","256,75","35,5","738,25","441,08",30
iron anchors,ancres de fer,ijzeren ankers,pieces,1,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
iron anchors,ancres de fer,ijzeren ankers,guilders,36,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
endive,andives,andijvie,bag,0,2,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
andolium,andolium,andolium,pieces,0,47,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
salted fish,andolium ou crockvisch,gezouten vis (andolium of crockvisch),pieces,...,...,0,1,...,...,...,...,...,...,0,12,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
donkeys and asses,anes et anesses,ezels en muildieren,pieces,12,7,16,18,17,35,1,31,36,0,40,15,0,28,16,1,29,29,0,34,34,1,35,12,5,35,19,0,32,19,0,27,29,0,39,34,3,33,22,1,39,35,0,52,14,0,36,17,0,49,17,2,34,14,0,32,32,0,32,20,0,31,26,0,41,16,0,19,25,0,36,29,0,31,22,0,22,35,1,43,27,1,42,30,0,31,30,2,54,32,0,35,6,0,38,20,0
eel,anguilles,paling,pounds,"2157,5",1525,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
anise,anis,anijs,awm,"54,13","27,38",...,...,"9,5",0,"4,75",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
antimony,antimoine,antimonium,pounds,"14,5",0,...,...,631,0,0,205,45,8,"2189,5",0,27,"4493,5",0,0,2005,77,0,5638,0,0,2171,0,0,2886,0,0,724,0,0,1922,0,0,5089,30,0,"199,5",13,0,963,0,0,2440,0,0,1572,7,0,"7750,25",0,115,788,0,0,523,12,195,1920,25,0,"1500,5",135,0,1330,0,1554,868,0,1230,1300,593,400,626,0,400,"1201,5",0,0,895,0,0,"1806,5",0,0,"779,5",0,0,1186,0,40,829,0,0,2143,0,0
calf hides for book covers,apretée à telier les livres,"huiden (kalveren, boekenkaften)",pieces,0,48,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
calf hides for parchment,apretée pour parchemin,"huiden (kalveren, perkament)",boxes,0,9,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
hand and foot arches,arbalettes,hand- en voetbogen,pieces,...,...,...,...,0,1,0,...,...,...,8,0,0,0,0,0,4,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
hand and foot arches,arbalettes,hand- en voetbogen,guilders,...,...,...,...,0,5,0,...,...,...,66,0,0,0,0,0,35,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
fruit trees,arbres et arbrisseaux à fruits,fruitbomen,pieces,3928,3641,4148,4096,3816,4363,2663,14337,4167,6530,3100,3857,5280,2366,4999,2059,4372,19533,3088,4395,4991,2277,3869,4714,64,8747,3543,749,1829,6704,287,2958,5275,836,2107,5075,287,2518,2659,593,1777,4725,127,2409,4105,622,2369,4484,813,2401,13112,695,2789,5425,542,2518,11938,764,3247,4502,179,5085,5069,219,6347,6347,606,2647,2259,193,3322,3578,544,2378,2854,900,2932,2596,604,2196,3757,598,3972,15482,239,2305,12322,35,2935,5425,160,1211,3830,858,774,5292,8042
wild shrubs,arbres et arbrisseaux sauvages,wilde struiken,guilders,"1363,75","2840,55","1229,3","3755,8","1824,75","3244,2","139,5","1163,5","5862,4","233,25","840,7","4104,6",307,574,2803,237,1317,6272,539,1615,4165,643,1834,3922,557,4203,3735,498,2099,4299,113,1840,9024,722,2346,4788,879,2000,3994,1142,2713,3938,441,1482,2558,229,1872,4742,214,2504,4601,274,2013,5079,93,2362,5158,722,2912,4322,5889,2144,5851,889,3947,6346,1927,2099,3962,1639,2308,4607,715,3808,6799,958,3047,6202,92,2719,6612,12681,3392,7317,1468,3734,7787,677,2727,6028,699,1632,3618,1329,3067,3829,923
violin bows,archets de violons,strijkstokken,pieces,...,...,...,...,...,...,...,200,12,24,...,...,...,205,0,144,149,0,0,190,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
violin bows,archets de violons,strijkstokken,guilders,15,3,"17,5",0,48,"9,5",0,"38,5",18,0,30,1,72,...,...,...,59,0,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
saddle trees,arçons de selles,zadelbomen,pieces,0,4,...,...,162,0,127,...,...,...,...,...,...,2,0,367,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
regular saddle trees,arçons de selles,zadelbomen (gewone),bundle,190,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
regular saddle trees,arçons de selles,zadelbomen (gewone),guilders,260,0,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
