Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
koffie,caffé,pond,"1636345,75","1636345,75","4989,75","4989,75","881498,50","881498,5",,102032,224,25309,33,1,,"617,5",,,12608,134,1703,363565,,276205,1657,,,811002,,487505,75164,1220,625,21953,56,,2996,1314,,"2254,25",530,,29058,555,,2796,"61,5",22600,,155,16532,1246,28,20906,"863,5",71,"23,5",8991,14,189,"13599,75","65,25",360,"5117,75",1,2011,"9149,25",46,15534,"171642,75",514,11996
steenkool,charbons de pierre,pesée',"19882,25","19882,25","48556,75","48586,75","0,00",0,,,37885,,"13360,5","526,5",,,,,,6450,,,,,,30,,,,,,,,,,,,,,,,,96,169,,,,,,,,5874,"2538,5",,18,426,,,,,,,,,,,,,,"533,75","561,75",
steenkool (klein),menu charbons de pierre,viertel,"406409,30","406409,3","237568,25","237573,25","7181,00","7181,5",,,894,,12487,194,,2355,,,15,,,115671,,,78,6,,"8750,5",,,8653,,,"4984,8",,,4,,,1798,381,,"212345,5","19878,75",,548,"190680,75",,121,"964,5",24,253,"12463,5",16,899,"2573,5","317,5",29480,"449,25",5132,,,,290,,,,,,"7676,5",9088,1692
steenkool,charbons de pierre,kar,"2543,25","2543,25","16625,50",16625,"10469,70",10470,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,142,1008,55,"1368,5",4,"110,5",,,"0,5",,,,"680,25",75,2246,31,"2,5",18,64,"131,5",,"256,5",15402,8040
steenkool (klein),menu charbons de pierre,kar,"2791,00",2791,"1922,47","1922,4666666667","1567,00",1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,3,,,,,"2669,5","42,1666666667","1307,5","81,5",1290,,,,,,,,,,,40,,50,,"568,3","209,5"
kant (linnen),dentelles de fil,gulden,"1712,00",1712,"58043,00",58043,"7283,00",7283,,405,60,338,20,4130,,,90,,4,,,,,,,,,5,,,,,,,,,300,5298,,25,,800,,,4150,,14,,7,2000,810,,,,,,,,118,,505,44792,,272,,185,167,1493,800,2,48,200
zijden stoffen,etoffes de soye pure,el,"18321,25","18321,25","35304,00",35304,"2995,50","2995,5",,66,21,1519,43,,,24,70,,,"32724,5",,,,,,,,,25,,,1880,,,,,,76,,,,,,,,1850,2,189,,,"19,5",,,,,,,,54,,"12550,5","435,5",816,572,,180,"332,75",,5,2883,16,267
wol (ruw of niet gewassen),laine brute ou non lavée,pond,"120897,00",120897,"153961,25","153961,25","648531,50","648531,5",,,,,,,,,,,,,,,,,,,,76557,,545190,,,,,,,,,,,1,,,,,4166,29,,5979,,48240,4370,,6055,9383,81,,,,,2052,"36581,5",4678,6479,18083,"14808,5",6726,"98003,75",19460,5185,1182,10100
wol (Spaanse),laine d'Espagne,pond,"806325,50","806325,5","5225,00",5225,"1023424,00",1023424,,,,785234,,,,,,,,,15030,,,,161927,,29080,,,,152290,150,57110,,,,,,,,,,,,,,,,,,,,,,54,,,250,,,,,,,,,,,,"491804,5",5075,136970
wol (gewassen),laine lavée,pond,"47130,00",47130,"41735,75","41735,75","71027,00",71027,,,52,,16622,,,7563,,,,4981,,,,,,784,,,,,,,,,,,,,,9350,14766,110,685,"8549,25",,2149,,,835,,66541,900,,1645,371,20,8,16,468,,6868,3238,,1049,1511,1201,722,"7366,5",1522,,,
