Product,Franse vertaling,meeteenheid,I,Controletabel Invoer,E,Controletabel Export,T,Controletabel Transit,,Brussel Invoer,Brussel Uitvoer,Brussel Transit,Tienen Invoer,Tienen Uitvoer,Tienen Transit,Turnhout Invoer,Turnhout Uitvoer,Turnhout Transit,Antwerpen Invoer,Antwerpen Uitvoer,Antwerpen Transit,St.-Phillipe Invoer,St.-Phillipe Uitvoer,St.-Phillipe Transit,Gent Invoer,Gent Uitvoer,Gent Transit,Brugge Invoer,Brugge Uitvoer,Brugge Transit,Oostende Invoer,Oostende Uitvoer,Oostende Transit,Nieuwpoort Invoer,Nieuwpoort Uitvoer,Nieuwpoort Transit,Sint-Niklaas Invoer,Sint-Niklaas Uitvoer,Sint-Niklaas Transit,Kortrijk Invoer,Kortrijk Uitvoer,Kortrijk Transit,Doornik Invoer,Doornik Uitvoer,Doornik Transit,Bergen Invoer,Bergen Uitvoer,Bergen Transit,Chimay Invoer,Chimay Uitvoer,Chimay Transit,Charleroi Invoer,Charleroi Uitvoer,Charleroi Transit,Namen Invoer,Namen Uitvoer,Namen Transit,Ieper Invoer,Ieper Uitvoer,Ieper Transit,Luxemburg Invoer,Luxemeburg Uitvoer,Luxemburg Transit,St.Vith Invoer,St. Vith Uitvoer,St.Vith Transit,Marche Invoer,Marche Uitvoer,Marche Transit,Herve Invoer,Herve Uitvoer,Herve Transit
wol (gekamd),laine peignée,pond,"2559,50","2559,5","167628,50","167628,5","22486,00",22486,,,,,,"45,5",,,,,,,,,,,,6275,,,,,,,,,,,,,,"996,5",70371,,623,86749,,18,1499,,,150,22183,89,100,78,833,2209,225,,230,,,,,,,,,,,,,
zout (wit),sel blanc,viertel,"20162,38","14294,365","1837,02","1837,1083333333","12258,79","12258,0416666667",,,79,9068,,"61,75",,"9,5",,,"34,8333333333",,,"1191,3333333333",,1925,"3,5",50,,,,,,,,"1611,625",,,"296,0416666667",,,"1,25",,,,"47,25",,,129,,"0,5","49,15","223,5",,"1288,25",,"2,0416666667","52,3333333333",,,3,,"8226,6","2,05","179,25","426,04","0,075","416,125",1556,8,"420,7916666667","935,1","67,25","25,375"
zout (grijs of grof),sel gris,viertel,"54669,63","54669,625","82,00",82,"0,00",0,,,,,,,,,,,,,,21,,,,,,,,,"54134,9375",,,"510,1875",,,,,,,,,3,,,,,,"0,5",82,,,,,,,,,,,,,,,,,,,,,,
zijde (ruwe),soye crue,pond,"68246,19","68246,1875","2930,00",2930,"41115,88","41115,875",,966,,41077,122,,,38587,,,9221,1602,,12596,,,,93,,3707,,,2601,1049,,,,,230,,,40,16,,"8,125",,,"152,25",,,,,,,,,,,,,,,,170,,"15,8125",,"38,875",,,,,,
suiker (kandij-),sucre candis,pond,"210979,25","210979,25","132902,25","132902,75","433335,00",433335,,6,11681,6149,,62,,"14,5",,,26,16231,,563,,402579,"532,5",,,"153,25",,,,,,"65,5",,,764,,,,7519,,,35933,,,"3624,5",,,30929,124,1,1419,124,"73,5",480,2737,,24832,,26152,"84,75",,"17059,25","1,5",2264,"21508,25",50,9824,"144060,5",56,9534
suiker (witte poeder-),sucre en poudre blanc,pond,"1005485,50","1005485,5","26294,00",26294,"1530,00",1530,,,9907,975,,14,,71,,,,3414,,982394,,250,2766,,,,,,,,,,,,"2775,5",,,,653,,,,,,10539,,,1275,65,1,492,,600,,,,,,,,,222,,,,,90,16656,,150
suiker (bruine poeder-),sucre en poudre brun,pond,"7342585,75","7342585,75","1682,50","1682,5","1561,50","1561,5",,,,,,,,,,,,,,1412140,,,9149,,,4943430,,1480,762434,"69,5",,"65116,5",,,,,,,,,"40269,5",57,,,,,,,,,,,550,1368,"1,5","109496,75",188,80,,,,,,,,,,,,
kleurstoffen (indigo),indigo,pond,"34166,50","34166,5","5112,25","5112,25","10497,00",10497,,,893,3868,80,,,1282,9,,,1697,,10075,,865,"1250,75",500,,4522,1125,105,12805,,2824,1151,,,,,,1111,100,,"1290,5",,,5,221,,,10,,,,,"13,5",,4,90,25,,183,"54,25",2237,"175,75",35,,,,284,132,443,310
thee,thé,pond,"549809,75","549809,75","2473,63","2473,625","72822,00",72822,,7971,291,2160,"186,5",13,,246,"82,5",,"18656,5",606,,183507,,5635,"3392,75","507,5",,136919,,39184,174977,15,20555,"5174,25","53,5",,8472,80,,200,203,,"1263,5","134,5",,"2,75","67,25",,,"30,5",2234,,"20,5",,104,"56,75","25,75",79,117,1235,"470,5","27,125",,"430,375",,"176,25","338,875",9,292,"7418,75","159,5",1325
katoen (bedrukt),toile de coton imprimé,el,"1397222,67","1397222,66666667","210096,50","210096,5","63187,25","63187,25",,41157,,,403,125,,206182,980,,178791,"4,5",,533030,,,16205,99,,131610,405,,4530,775,5202,,,,25735,20,,60452,108,23171,"45842,25",162634,,"30817,5","35051,75",,120,"377,5",6412,145,30,2906,5060,2527,25,"8607,75",5676,,"21517,5","758,75",344,"24867,1666666667",294,"18142,25","17660,5",20,490,44490,211,6495
katoen (wit),toile de coton blanche,el,"1252843,50","1252843,5","3677,00",3677,"0,00",0,,504,,,,,,206058,92,,90318,,,824811,,,"826,5",,,29979,,,98046,,,,,,2058,3300,,,,,8,285,,3,,,,,,,,,211,,,21,,,,,,,,,,,,,,
wijn (rode Franse),vin rouge de France,aam,"9715,95","9715,95","150,96","151,4583333333","2842,50","2841,8791666667",,"51,95","35,375","230,5",,,,5,,,4,17,,"1760,375",,"603,5","2,125","11,4166666667",,"3250,75","50,5",554,"3989,5",,"501,5","142,3125",1,,"5,5",,,"5,25",,"2,25","46,375","0,25",,"25,5","14,7083333333",,"51,1666666667","0,375","906,0666666667","14,25","0,6666666667","7,75","60,1041666667","2,25","4,5","95,625",,"1,5",1,,"1,75","3,75",,"0,0625","25,5",,"14,5","175,9166666667","17,9166666667",14
wijn (witte Franse),vin blanc de France,aam,"38970,25","38970,25","977,47","977,4666666667","425,53","425,325",,26,82,"22,5",,13,,,"41,5416666667",,"7,75",303,30,7077,,"93,75","2,25","254,4166666667",,"28751,75",72,"7,5","2622,75",30,153,"142,25",7,,"143,75",,,2,"20,25",,"0,3","6,8666666667",,2,"41,9166666667",,"0,5",,"0,5","2,7","23,4",1,,"48,45","25,125","165,25","6,125",,1,"3,5",,"8,5",6,"61,75",,18,,"14,5",,"30,2"
